"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/052688","052688","rico:CorporateBody","France. Ministère de l'Équipement. Direction de l'Architecture (1978-1985)",,"1978-09-06","1985-07-01","service d’administration centrale","oui","construction | promotion","0000000123588917",,,,"2020-07-29","2021-01-21"
"agent/053139","053139","rico:CorporateBody","France. Ministère de l'Équipement. Direction de la Législation et de la Documentation (1945-1967)","Direction du Plan et de la Documentation | Secrétariat des délégations départementales | Service Juridique | Direction du Programme et des Délégations départementales | Direction juridique | Service du Plan et de la Documentation | Direction générale de la Coordination | Service Documentation | Service Juridique et Financier | Service des Relations extérieures | Direction de la Législation et de la Documentation | Direction de la Législation et du Contentieux | France. Ministère de la Construction. Direction de la Législation et de la Documentation | France. Ministère de la Reconstruction et de l'Urbanisme. Direction de la Législation et de la Documentation","1945-01-01","1967-12-20","service d’administration centrale","oui","contentieux | documentation | interprétation juridique",,,,,"2022-02-21","2022-04-28"
"agent/006341","006341","rico:CorporateBody","France. Ministère de l'Équipement. Direction de la Recherche et des Affaires scientifiques et techniques (1967-2005)","Mission de la Recherche | Mission des Études et de la Recherche | Délégation à la Recherche et à l'Innovation","1967-01-01","2005-12-31","service d’administration centrale","oui","coordination | expérimentation | recherche | transports | urbanisme | étude","0000000119400512",,,,"2013-04-23","2023-01-02"
"agent/006553","006553","rico:CorporateBody","France. Ministère de l'Équipement. Direction des Affaires économiques et internationales (1967-2005)","Service des Affaires économiques et internationales","1967-01-01","2005-12-31","service d’administration centrale","oui","coopération | politique communautaire | relations internationales | statistique | économie | équipement","0000000122428719",,,,"2015-09-30","2022-08-18"
"agent/006326","006326","rico:CorporateBody","France. Ministère de l'Équipement. Direction du Personnel (1967-2005)","Direction du Personnel et de l'Organisation des services | Direction du Personnel | Direction du Personnel et des Services | Direction du Personnel, des Services et de la Modernisation","1967-01-01","2005-12-31","service d’administration centrale","oui","action sociale | contrôle de gestion | emploi | formation | gestion du personnel | organisation administrative | organisation du travail | préparation budgétaire | santé | évaluation",,,,"https://data.bnf.fr/ark:/12148/cb11864045v#about https://data.bnf.fr/ark:/12148/cb12749274r#about https://data.bnf.fr/ark:/12148/cb133236466#about https://data.bnf.fr/ark:/12148/cb13186330m#about https://data.bnf.fr/ark:/12148/cb12270326r#about https://data.bnf.fr/ark:/12148/cb12114856m#about","2015-12-04","2022-07-21"
"agent/007029","007029","rico:CorporateBody","France. Ministère de l'Équipement. Direction générale du Personnel et de l'Administration (2005-2008)","DGPA | France. ministère de l'Écologie et du développement durable. Direction générale du Personnel et de l'Administration","2005-05-16","2008-07-08","service d’administration centrale","oui","comptabilité | contentieux | contrôle de gestion | contrôle financier | finances | gestion des systèmes d’information | gestion du personnel | interprétation juridique | organisation du travail | préparation budgétaire | réglementation",,,,,"2013-04-23","2022-07-21"
"agent/006189","006189","rico:CorporateBody","France. Ministère de l'Équipement. Inspection générale de l'Équipement et de l'Environnement (1944-1986)","Inspection générale de la Reconstuction et de l'Urbanisme | Inspection générale de la Construction | Inspection générale de l'Équipement","1944-01-01","1986-12-31","service d’administration centrale","oui","inspection | équipement","0000000107916028",,,"https://data.bnf.fr/ark:/12148/cb127694512#about https://data.bnf.fr/ark:/12148/cb12769951f#about","2015-12-04","2022-07-20"
"agent/051316","051316","rico:CorporateBody","France. Ministère de l'Équipement. Secrétariat général des ministères chargés de l'Écologie, du Développement durable, de l'Énergie, du Logement, de l'Égalité des territoires et de la Ruralité (2005-....)","Secrétariat général du ministère de l'Emploi, de la Cohésion sociale et du Logement | Secrétariat général du ministère des Transports, de l'Equipement, du Tourisme et de la Mer | Secrétariat général du ministère de l'Ecologie, du Développement et de l'Aménagement durables | Secrétariat général du ministère de l'Ecologie, de l'Energie, du Développement durable et de la Mer | Secrétariat général du ministère du Logement et de la Ville | Secrétariat général du ministère du Logement | Secrétariat général du ministère de l'Ecologie, du Développement durable, des Transports et du Logement | Secrétariat général du ministère de l'Égalité des territoires et du Logement | Secrétariat général du ministère de l'Écologie, du Développement durable et de l'Énergie | Secrétariat général du ministère de l'Égalité des territoires et de la Ruralité | Secrétariat général du ministère de l'Environnement, de l'Énergie et de la Mer | Secrétariat général du ministère du Logement et de l'Habitat durable | Secrétariat général du ministère de la Transition écologique et solidaire | Secrétariat général du ministère de la Cohésion des territoires | Secrétariat général du ministère de la Transition écologique | Secrétariat général du ministère de la Cohésion des territoires et des relations avec les collectivités territoriales","2005-01-01",,"service d’administration centrale","oui","communication | coordination | défense | finances | gestion du personnel | organisation administrative | politique communautaire | relations internationales | sécurité | économie | évaluation",,,,,"2016-06-13","2022-07-21"
"agent/006651","006651","rico:CorporateBody","France. Ministère de l'Équipement (1966-2007)","Ministère de l'Équipement et du Logement | Ministère de l'Aménagement du territoire, de l'Équipement et des Transports | Ministère de l'Équipement et de l'Aménagement du territoire | Ministère de l'Urbanisme et du Logement | Ministère de l'Urbanisme, du Logement et des Transports | Ministère de l'Équipement et du Logement | Ministère de l'Équipement, du Logement, des Transports et de la Mer | Ministère de l'Équipement, du Logement et des Transports | Ministère de l'Équipement, des Transports et du Tourisme | Ministère de l'Aménagement du territoire, de l'Équipement, du Logement et du Tourisme | Ministère de l'Équipementr, du Logement, des Transports et du Tourisme | Ministère de l'Équipement, des Transports et du Logement | Ministère de l'Équipement, des Transports, du Logement, du Tourisme et de la Mer | Ministère de l'Équipement, des Transports, de l'Aménagement du territoire, du Tourisme et de la Mer | Ministère de l'Environnement et du Cadre de vie | Ministère de l'Équipement, du logement, de l'Aménagement du territoire et des Transports | Ministère de l'Équipement, du Logement, des Transports et de l'Espace | Ministère des Transports, de l'Équipement, du Tourisme et de la Mer","1966-01-08","2007-05-15","ministère","oui","aménagement du territoire | logement | transports | urbanisme","0000000123694410",,,"https://data.bnf.fr/ark:/12148/cb120982808#about","2013-04-23","2020-09-10"
"agent/002099","002099","rico:CorporateBody","France. Ministère de l'Immigration, de l'Intégration, de l'Identité nationale et du Codéveloppement (2007-2010)","France. Ministère de l'Immigration, de l'Intégration, de l'Identité nationale et du Codéveloppement | France. Ministère de l'Immigration | France. Ministère de l'Identité nationale | France. Ministère de l'Immigration, de l'Intégration, de l'Identité nationale et du Développement solidaire","2007-05-01","2010-11-30","ministère","oui","relations internationales","0000000107261383","Q4294375","https://fr.wikipedia.org/wiki/Minist%C3%A8re_de_l%27Immigration,_de_l%27Int%C3%A9gration,_de_l%27Identit%C3%A9_nationale_et_du_D%C3%A9veloppement_solidaire",,"2013-04-23","2023-10-04"
"agent/003906","003906 | d3m0bo6bbd8--o0s3vamiyclh","rico:CorporateBody","France. Ministère de l'Industrie. Agence française pour la maîtrise de l'énergie (1982-1991)","AFME","1982-05-13","1991-07-26","établissement public à caractère industriel et commercial","oui","économie | énergie","0000000122887755",,,"https://data.bnf.fr/ark:/12148/cb118684139#about","2015-09-30","2025-08-07"
"agent/009991","009991","rico:CorporateBody","France. Ministère de l'Industrie. Agence pour les économies d'énergie (1974-1982)","AEE","1974-11-29","1982-05-13","établissement public à caractère industriel et commercial | établissement public à caractère administratif","oui","communication | écologie | économie | énergie",,,,"https://data.bnf.fr/ark:/12148/cb11862182v#about","2013-04-23","2022-08-01"
"agent/007476","007476","rico:CorporateBody","France. Ministère de l'Industrie. Bureau minier de la France d'outre-mer (1946-1959)","BUMIFOM | Bureau minier de la France d’outre-mer","1948-01-26","1959-10-23","société d’Etat","oui","prospection minière | énergie",,,,"https://data.bnf.fr/ark:/12148/cb12966346t#about","2013-04-23","2020-08-18"
"agent/009992","009992 | d3m0bo5lvv1--1mhf2ixohtjtj","rico:CorporateBody","France. Ministère de l'Industrie. Commissariat à l'énergie solaire (1978-1982)","COMES | Commissariat à l'énergie solaire. Paris | France. Ministère de l'industrie. Commissariat à l'énergie solaire (1978-1982)","1978-03-09","1982-05-13","établissement public à caractère industriel et commercial","oui","économie | énergie","0000000119406607",,,"https://data.bnf.fr/ark:/12148/cb11875164v#about","2013-04-23","2025-09-23"
"agent/007355","007355","rico:CorporateBody","France. Ministère de l'Industrie. Direction générale de l'Industrie. Service des études et des statistiques industrielles (1998-2009)",,"1998-01-01","2009-12-31","service à compétence nationale","non",,,,,,"2013-04-23","2021-01-08"
"agent/007359","007359","rico:CorporateBody","France. Ministère de l'Industrie. Direction générale de l'Industrie. Service des technologies et de la société de l'information (1998-2009)","STSI","1998-01-01","2009-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2021-01-08"
"agent/007365","007365","rico:CorporateBody","France. Ministère de l'Industrie. Direction générale de l'Industrie (1940-2009)","Secrétariat général à l'Industrie et au Commerce intérieur | Secrétariat général à l'organisation industrielle et commerciale | Secrétariat général à la production industrielle | Direction de la coordination industrielle | Direction de l'expansion industrielle | Direction générale de la politique industrielle | Direction générale de la politique industrielle | Direction générale de l'Industrie | Direction générale des stratégies industrielles | Direction générale de l'Industrie | Direction générale des stratégies industrielles","1940-01-01","2019-12-31","service d’administration centrale","oui","industrie","0000000107237068 | 0000000117952313",,,"https://data.bnf.fr/ark:/12148/cb118639395#about https://data.bnf.fr/ark:/12148/cb12262686q#about","2013-04-23","2021-01-19"
"agent/007862","007862","rico:CorporateBody","France. Ministère de l'Industrie (1959-1997)","Ministère de l'Industrie, de la Poste et des Télécommunications | Ministère de l'Industrie | Ministère de l'Industrie, des Postes et Télécommunications et du Commerce extérieur | Ministère de l'Industrie et du Commerce extérieur | Ministère de l'Industrie et de l'Aménagement du territoire | Ministère de l'Industrie, du Commerce extérieur et de l'Aménagement du territoire | Ministère de l'Industrie, des P. et T. et du Tourisme | Ministère du Redéploiement industriel et du Commerce extérieur | Ministère de l'Industrie et de la Recherche | Ministère de l'Industrie | Ministère de l’Industrie, du Commerce et de l'Artisanat | Ministère de l'Industrie et de la Recherche | Ministère de l'Industrie, du Commerce et de l’Artisanat | Ministère du Développement industriel et scientifique | Ministère de l'Industrie","1959-11-17","1997-06-04","ministère","oui","industrie","0000000107208371 | 0000000106570539 | 0000000122428364 | 0000000106692632 | 0000000106724016 | 0000000106685600 | 0000000106750548 | 000000010670201X",,,,"2013-04-23","2020-02-24"
"agent/051114","051114","rico:CorporateBody","France. Ministère de l'Industrie et du Commerce (1944-1959)","Ministère de la Production industrielle | Ministère de l’Industrie et du Commerce | Ministère de l’Industrie et de l’Énergie | Ministère de l’Industrie et du Commerce | Ministère de l’Industrie et de l’Énergie | Ministère de l’Industrie et du Commerce | Secrétariat d'État à la Reconstruction, au Logement, à l’Industrie et au Commerce | Secrétariat d’État à l’Industrie et au Commerce | Ministère de l’Industrie et du Commerce | Secrétariat d’État à l’Industrie et au Commerce | Ministère de l’Industrie et du Commerce","1944-01-01","1959-11-17","ministère","oui","industrie","0000000122539283",,,,"2015-06-18","2020-01-06"
"agent/051125","051125","rico:CorporateBody","France. Ministère de l'Instruction publique. Direction des Beaux-Arts. Bureau des Monuments historiques (1870-1907)",,"1870-01-01","1907-12-31",,"oui","culture",,,,,"2015-12-08",
"agent/000932","000932","rico:CorporateBody","France. Ministère de l'Intérieur. Bureau central des cultes (1911-...)","France. Ministère de l'Intérieur. Bureau des cultes","1911-01-01",,"service d’administration centrale","oui",,,"Q2928336","https://fr.wikipedia.org/wiki/Bureau_central_des_cultes","https://data.bnf.fr/ark:/12148/cb12181515x#about","2013-04-23","2021-03-15"
"agent/052426","052426","rico:CorporateBody","France. Ministère de l'Intérieur. Bureau de consultation des Arts et métiers (1791-1796)",,"1791-01-01","1796-12-31","service d’administration centrale","oui","économie",,,,,"2019-12-26","2020-10-15"
"agent/052425","052425","rico:CorporateBody","France. Ministère de l'Intérieur. Bureau des Arts et Manufactures (1795-1831)",,"1795-01-01","1831-12-31","service d’administration centrale","oui","économie",,,,"https://data.bnf.fr/ark:/12148/cb11988545s#about","2019-12-26","2020-10-15"
"agent/001180","001180","rico:CorporateBody","France. Ministère de l'Intérieur. Cabinet du directeur général de la Police nationale (1934-....)",,"1934-01-01",,"service actif de police","non",,,,,,"2013-04-23","2023-10-05"
"agent/001441","001441","rico:CorporateBody","France. Ministère de l'Intérieur. Cabinet du directeur général de la sécurité civile et de la gestion des crises (1954-....)","Cabinet du directeur de la sécurité civile | Cabinet du directeur de la défense et de la sécurité civile","1954-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2023-10-04"
"agent/001059","001059","rico:CorporateBody","France. Ministère de l'Intérieur. Cabinet du directeur général des collectivités locales (1960-....)",,"1960-01-01",,"service d’administration centrale","non",,,,,,"2015-09-30","2023-10-04"
"agent/052712","052712","rico:CorporateBody","France. Ministère de l'Intérieur. Centre des hautes études du ministère de l'Intérieur (2010-....)","Centre des hautes études du ministère de l'Intérieur | CHEMI","2010-01-08",,"service d’administration centrale","oui","formation",,,"https://fr.wikipedia.org/wiki/Centre_des_hautes_%C3%A9tudes_du_minist%C3%A8re_de_l%27Int%C3%A9rieur",,"2020-08-13","2020-08-13"
"agent/000854","000854","rico:CorporateBody","France. Ministère de l'Intérieur. Délégation aux Affaires internationales et européennes (1998-....)",,"1998-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2023-10-04"
"agent/052113","052113","rico:CorporateBody","France. Ministère de l'Intérieur. Direction de l'accueil, de l'accompagnement des étrangers et de la nationalité (2013-....)",,"2013-08-12",,,"oui","action gouvernementale | naturalisation",,,,,"2018-09-21","2018-09-27"
"agent/051443","051443","rico:CorporateBody","France. Ministère de l'Intérieur. Direction de la Sûreté nationale (1876-1966)","France. Ministère de l'intérieur. Direction de la sûreté générale | Direction de la Sûreté nationale | Direction de la Sûreté générale | Direction de la Sûreté","1876-01-01","1966-12-31","service d’administration centrale","oui","police administrative",,"Q61659420","https://fr.wikipedia.org/wiki/Direction_de_la_S%C3%BBret%C3%A9_g%C3%A9n%C3%A9rale | https://fr.wikipedia.org/wiki/Direction_g%C3%A9n%C3%A9rale_de_la_S%C3%BBret%C3%A9_nationale_(France)","https://data.bnf.fr/ark:/12148/cb11724372k#about","2017-01-30","2023-10-04"
"agent/051121","051121","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des Beaux-Arts. Bureau des Beaux-Arts, des Musées et des Monuments historiques (1848-1852)",,"1848-01-01","1852-12-31",,"oui","culture",,,,,"2015-12-08",
"agent/051120","051120","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des Beaux-Arts. Bureau des Monuments historiques (1839-1848)",,"1839-01-01","1848-12-31",,"oui","culture",,,,,"2015-12-08",
"agent/051154","051154","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des Beaux-Arts (1834-1848)","France. Ministère de l'Intérieur. Division des Beaux-Arts (1834-1848)","1834-01-01","1848-12-31",,"oui","culture",,,,,"2015-12-04","2017-03-22"
"agent/051155","051155","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des Beaux-Arts (1848-1852)","France. Ministère de l'Intérieur. Division des Beaux-Arts (1848-1852)","1848-01-01","1852-12-31",,"oui","culture",,,,,"2015-12-04","2017-03-22"
"agent/001399","001399","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des libertés publiques et des affaires juridiques. Bureau des cercles et jeux (2008-2013)",,"2008-01-01","2013-08-12","service d’administration centrale","oui","police administrative | réglementation",,,,,"2013-04-23","2018-07-23"
"agent/052073","052073","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des libertés publiques et des affaires juridiques. Bureau des établissements de jeux (2013-....)",,"2013-08-12",,,"oui","interprétation juridique | police administrative | réglementation",,,,,"2018-07-19","2018-07-23"
"agent/001513","001513","rico:CorporateBody","France. Ministère de l'Intérieur. Direction des services techniques (1949-1951)",,"1949-01-01","1951-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2025-01-20"
"agent/001159","001159","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la Police nationale. Direction centrale de la police aux frontières (1944-....)","DCPAF | France. Ministère de l'Intérieur. Direction générale de la police nationale. Direction centrale du contrôle de l'immigration et de la lutte contre l'emploi des clandestins (DICCILEC) | France. Ministère de l'Intérieur. Direction générale de la police nationale. Direction centrale des Renseignements généraux. Service central de la police de l'air | France. Ministère de l'Intérieur. Direction générale de la police nationale. Service central de la police de l'air et des frontières | France. Ministère de l'Intérieur. Sous-direction de la Police de l'air et des frontières","1944-01-01",,"service actif de police","oui","coopération | sécurité",,"Q3029453","https://fr.wikipedia.org/wiki/Direction_nationale_de_la_Police_aux_fronti%C3%A8res",,"2015-09-30","2023-10-04"
"agent/001288","001288","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la Police nationale. Direction centrale de la police judiciaire (1944-....)","DCPJ | France. Ministère de l'Intérieur. Direction générale de la sûreté nationale. Direction des services de police judiciaire | France. Ministère de l'Intérieur. Direction générale de la sûreté nationale. Direction centrale de la police judiciaire | France. Ministère de l'Intérieur. Direction de la police judiciaire","1944-01-01",,"service actif de police","oui","justice","0000000106637836","Q3029457","https://fr.wikipedia.org/wiki/Direction_nationale_de_la_Police_judiciaire","https://data.bnf.fr/ark:/12148/cb11993202p#about","2013-04-23","2023-10-04"
"agent/001212","001212","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la police nationale. Direction de la réglementation (1946-1985)","Direction de la réglementation et des étrangers | Direction de la réglementation et du contentieux","1946-01-01","1985-12-31","service d’administration centrale","oui","police administrative | réglementation",,,,,"2013-04-23","2025-01-20"
"agent/001160","001160","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la police nationale. Direction de la surveillance du territoire (1899-2008)","France. Direction de la Sûreté générale. Contrôle des services de la surveillance du territoire | France. Direction générale de la Sûreté nationale. Contrôle général des services de surveillance du territoire | CGST | France. Direction générale de la Sûreté nationale. Direction de la surveillance du territoire | France. Direction générale de la Police nationale. Direction de la surveillance du territoire | DST","1899-01-01","2008-12-31","service actif de police","oui","sécurité","0000000118820849",,,"https://data.bnf.fr/ark:/12148/cb119740050#about","2015-09-30","2023-10-04"
"agent/001398","001398","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la Police nationale (1969-....)","DGPN","1969-09-29",,"service actif de police","oui","sécurité","0000000106741684","Q3029551","https://fr.wikipedia.org/wiki/Direction_g%C3%A9n%C3%A9rale_de_la_Police_nationale",,"2013-04-23","2023-10-04"
"agent/052959","052959","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la sécurité intérieure (2014-....)","DGSI","2014-04-30",,"service actif de police","oui","sécurité",,,"https://fr.wikipedia.org/wiki/Direction_g%C3%A9n%C3%A9rale_de_la_S%C3%A9curit%C3%A9_int%C3%A9rieure",,"2021-06-03","2021-06-04"
"agent/050984","050984","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la Sûreté nationale. Contrôle général des services de police administrative (1913-1941)","France. Ministère de l'Intérieur. Direction générale de la Sûreté nationale. Contrôle général des recherches administratives, économiques et financières | France. Ministère de l'Intérieur. Direction générale de la Sûreté nationale. Direction des Renseignements généraux | France. Ministère de l'Intérieur. Direction générale de la Sûreté nationale. Inspection générale des services de police administrative (1938-1941)","1913-03-19","1941-05-13","service actif de police","oui","police administrative",,,,,"2015-03-12","2023-06-30"
"agent/001208","001208","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la Sûreté nationale. Fichier central (1934-1940)","Fonds de Moscou | Archives restituées par la Russie","1934-01-01","1940-12-31","service actif de police","oui","police administrative (1934-01-01/1940-12-31 )",,,,,"2013-04-23","2021-03-02"
"agent/009168","009168","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale de la sûreté nationale. Fonds de Moscou (1800-1940)","Direction générale de la sûreté nationale","1800-01-01","1940-12-31","service d’administration centrale","non",,,,,,"2015-12-04","2025-01-20"
"agent/052112","052112","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale des étrangers en France (2013-....)","DGEF","2013-08-12",,"service d’administration centrale","oui","action gouvernementale | naturalisation | relations internationales | réglementation",,"Q56070765","https://fr.wikipedia.org/wiki/Direction_g%C3%A9n%C3%A9rale_des_%C3%89trangers_en_France",,"2018-09-21","2023-10-04"
"agent/052892","052892","rico:CorporateBody","France. Ministère de l'Intérieur. Direction générale des Outre-mer (2013-....)",,"2013-10-02",,"service d’administration centrale","oui","action gouvernementale | outre-mer",,,,,"2021-02-03","2021-03-12"
"agent/052424","052424","rico:CorporateBody","France. Ministère de l'Intérieur. Directoire des brevets d'invention (1791-1792)",,"1791-01-01","1792-12-31","service d’administration centrale","oui","établissement de droits",,,,,"2019-12-26","2020-10-15"
"agent/001276","001276","rico:CorporateBody","France. Ministère de l'Intérieur. Fichier central de la police judiciaire (1940-....)",,"1940-01-01",,"service actif de police","non",,,,,,"2015-09-30","2023-12-05"
"agent/051430","051430","rico:CorporateBody","France. Ministère de l'Intérieur. Jury d'honneur (1945-1957)","France. Ministère de l'Intérieur. Jury d'honneur des parlementaires de 1945 (1945-1957)","1945-04-06","1957-12-31","juridiction","oui","justice",,"Q16647641","https://fr.wikipedia.org/wiki/Jury_d%27honneur",,"2016-12-13","2023-03-10"
"agent/002093","002093","rico:CorporateBody","France. Ministère de l'Intérieur. Secrétariat général à l'immigration et à l'intégration (2010-2013)","SGII","2010-11-01","2013-08-12","service d’administration centrale","oui","relations internationales",,,,,"2013-04-23","2023-10-04"
"agent/001534","001534","rico:CorporateBody","France. Ministère de l'Intérieur. Secrétariat général pour la police (1966-1969)",,"1966-01-01","1969-12-31","service actif de police","oui","sécurité",,,,,"2013-04-23","2023-10-04"
"agent/000862","000862","rico:CorporateBody","France. Ministère de l'Intérieur. Service de l'information et des relations publiques (1975-2004)","SIRP","1975-01-01","2004-12-31","service d’administration centrale","oui","communication","0000000105715660",,,,"2015-12-04","2023-10-04"
"agent/001397","001397","rico:CorporateBody","France. Ministère de l'Intérieur. Service des voyages officiels et de la protection des hautes personnalités (1929-....)","SVO-SDHP | Service des voyages officiels (VO) | Service du contrôle des voyages officiels | Service des voyages officiels et de la protection des hautes personnalités | Service des voyages officiels et de la sécurité des hautes personnalités | Service central des voyages officiels | Service central des voyages officiels et de la sécurité des hautes personnalités | Service de protection des hautes personnalités (SPHP) | Service de la protection (SDLP)","1929-01-01",,"service actif de police","oui","sécurité",,"Q936220","https://fr.wikipedia.org/wiki/Service_de_la_protection","https://data.bnf.fr/ark:/12148/cb158917635#about","2013-04-23","2022-01-13"
"agent/052324","052324","rico:CorporateBody","France. Ministère de l'Intérieur (1944-....)","France. Ministère de l'Intérieur et de la décentralisation | France. Ministère de l'Intérieur et de la sécurité publique | France. Ministère de l'Intérieur et de l'aménagement du territoire | France. Ministère de l'Intérieur, de la sécurité intérieure et des libertés locales | France. Ministère de l'Intérieur et de l'aménagement du territoire | France Ministère de l'Intérieur, de l'outre-mer et des collectivités territoriales | France. Ministère de l'Intérieur, de l'outre-mer, des collectivités territoriales et de l'immigration","1944-09-10",,"ministère","oui","action gouvernementale | décentralisation | police administrative | rapatriés | réglementation | sécurité | sécurité civile | sécurité routière","000000010671888X | 0000000106704998 | 0000000106589352 | 0000000107240064",,,"https://data.bnf.fr/ark:/12148/cb11864042t#about https://data.bnf.fr/ark:/12148/cb124699617#about https://data.bnf.fr/ark:/12148/cb124700775#about https://data.bnf.fr/ark:/12148/cb12253674r#about https://data.bnf.fr/ark:/12148/cb12314179p#about https://data.bnf.fr/ark:/12148/cb124684906#about https://data.bnf.fr/ark:/12148/cb14421757z#about https://data.bnf.fr/ark:/12148/cb15006675v#about https://data.bnf.fr/ark:/12148/cb16258903t#about https://data.bnf.fr/ark:/12148/cb166202798#about","2019-07-18","2023-03-10"
"agent/007040","007040","rico:CorporateBody","France. Ministère de la Construction (1958-1966)","Ministère de la Construction","1958-06-09","1966-01-07","ministère","oui","aménagement du territoire | construction | logement | urbanisme","0000000106567399",,,"https://data.bnf.fr/ark:/12148/cb11883784v#about","2013-04-23","2020-09-07"
"agent/FRAN_RI_013-d3m0bo6i5ru--1ermmpwm4f18h","d3m0bo6i5ru--1ermmpwm4f18h","rico:CorporateBody","France. Ministère de la coopération (1974-1981). Fonds d'aide et de coopération","Fonds d'aide et de coopération (France)",,,,"oui",,,,,,,
"agent/053112","053112","rico:CorporateBody","France. Ministère de la Culture. Cabinet de Franck Riester, ministre de la Culture (2018-2020)",,"2018-10-16","2020-07-06","cabinet ministériel","oui","action gouvernementale | arts | culture","Pasdenum%C3%A9roISNIau29%2F12%2F2021",,,,"2021-12-16","2022-05-17"
"agent/005044","005044","rico:CorporateBody","France. Ministère de la Culture. Cabinet du ministre (1959-....)","Cabinet du ministre de la Culture","1959-01-08",,"cabinet ministériel","non","culture",,,,,"2013-04-23","2022-08-02"
"agent/005300","005300","rico:CorporateBody","France. Ministère de la Culture. Direction de la Musique et de la Danse. Délégation à la Danse (1982-1998)","France. Ministère de la Culture. Direction de la Musique et de la Danse. Division à la Danse","1982-05-10","1998-09-21","service d’administration centrale","oui","conseil | coordination | création artistique | culture | diffusion | décentralisation | formation | inspection | statut de l’artiste | étude | évaluation","0000000106594936",,,"https://data.bnf.fr/ark:/12148/cb12126845n#about","2013-04-23","2020-09-17"
"agent/052992","052992","rico:CorporateBody","France. Ministère de la Culture. Direction des musées de France. Ateliers des techniciens et des chefs de travaux d’art (1965-1990)","Ateliers de restaurateurs fonctionnaires, techniciens et chefs de travaux d’art","1965-01-01","1990-12-31",,"oui",,,,,,"2021-06-28","2022-06-09"
"agent/052996","052996","rico:CorporateBody","France. Ministère de la Culture. Direction des musées de France. Service de restauration des musées de France (1991-1998)","SRMF","1991-01-01","1998-12-31","service d’administration centrale","oui","arts","0000000106632920",,,"https://data.bnf.fr/ark:/12148/cb12308104j#about","2021-06-28","2021-10-19"
"agent/052993","052993","rico:CorporateBody","France. Ministère de la Culture. Direction des musées de France. Service de restauration des peintures des musées nationaux (1966-1990)","SRPMN","1966-01-01","1990-12-31","service d’administration centrale","oui","arts",,,,"https://data.bnf.fr/ark:/12148/cb11878084x#about","2021-06-28","2021-10-19"
"agent/053675","053675","rico:CorporateBody","France. Ministère de la Culture. Direction générale de la création artistique. Assises de la jeune création",,"2015-02-24","2016-01-28","service d’administration centrale","oui","arts | culture",,,,,"2024-09-13","2024-09-16"
"agent/005504","005504","rico:CorporateBody","France. Ministère de la Culture. Direction générale de la création artistique. Délégation à la danse (2006-....)","France. Ministère de la Culture et de la Communication. Direction générale de la création artistique. Service du spectacle vivant. Délégation à la danse","2006-11-09",,"service d’administration centrale","oui","coordination | création artistique | culture | diffusion | formation | réglementation | tutelle | étude","0000000106594936",,,,"2013-04-23","2019-08-28"
"agent/005505","005505","rico:CorporateBody","France. Ministère de la Culture. Direction générale de la création artistique. Délégation à la musique (2006-....)","France. Ministère de la Culture et de la Communication. Direction générale de la création artistique. Service du Spectacle vivant. Délégation à la musique | France. Ministère de la Culture et de la Communication. Direction de la musique, de la danse, du théâtre et des spectacles. Délégation à la musique","2006-11-09",,"service d’administration centrale","oui","coordination | création artistique | culture | diffusion | formation | tutelle",,,,,"2013-04-23","2019-08-28"
"agent/005506","005506","rico:CorporateBody","France. Ministère de la Culture. Direction générale de la création artistique. Délégation au théâtre (2006-....)","France. Ministère de la Culture. Direction générale de la création artistique. Service du spectacle vivant. Délégation au théâtre","2006-11-09",,"service d’administration centrale","oui","coopération | coordination | création artistique | culture | tutelle",,,,,"2013-04-23","2019-08-28"
