"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/050288","050288","rico:Family","Landres de Briey (famille de ; XIIe-XXe siècles)",,"1181-01-01","2000-12-31","oui",,,,,"2013-08-21","2022-08-08"
"agent/050363","050363","rico:Family","La Pomélie (famille)",,"1301-01-01","2000-12-31","oui",,,,,"2018-03-26",
"agent/050034","050034","rico:Family","Larcher (famille)",,"1501-01-01","1900-12-31","oui",,,,,"2013-08-13",
"agent/050090","050090","rico:Family","Larminat (famille de)",,"1601-01-01",,"oui",,,,,"2013-10-17","2015-09-30"
"agent/052222","052222","rico:Family","La Rochette (famille de)","Guigues de La Rochette (famille de) | La Rochette d’Auger (famille de) | Rochette du Fay (famille de)","1301-01-01",,"oui",,,,,"2019-03-26","2019-03-27"
"agent/050073","050073","rico:Family","La Tour d'Auvergne (famille de)",,"1201-01-01",,"oui",,,,,"2013-10-17",
"agent/050369","050369","rico:Family","La Tour d'Auvergne-Lauragais (famille)",,"1304-01-01","1925-12-31","oui",,,,,"2018-03-26",
"agent/050999","050999","rico:Family","La Tour du Pin (famille)","La Tour du Pin (famille de)","1001-01-01","2000-12-31","oui",,,,,"2015-05-22",
"agent/051981","051981","rico:Family","La Tourrette d'Ambert (famille de)","Ambert de la Tourrette (famille d') | Curemonte (famille de) | Curemonte d'Ambert (famille de)","1001-01-01","2000-12-31","oui",,,,,"2018-02-15","2018-02-16"
"agent/050023","050023","rico:Family","La Trémoïlle (famille de ; 1001-2000)","La Trémoïlle (famille de)","1001-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Maison_de_La_Tr%C3%A9moille","https://data.bnf.fr/ark:/12148/cb145507565#about","2013-07-26","2021-05-17"
"agent/050062","050062","rico:Family","Lebas (famille)",,"1701-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_Le_Bas",,"2013-08-13","2018-03-26"
"agent/050488","050488","rico:Family","Legoux (famille)",,"1668-01-01","1904-12-31","oui",,,,,"2018-03-26",
"agent/050878","050878","rico:Family","Le Juge (famille ; 1499-....)","Le Juge de Segrais","1499-01-01",,"oui",,,,,"2023-07-13",
"agent/050107","050107","rico:Family","Lelièvre de La Grange (famille)","Lelièvre (famille)","1301-01-01",,"oui",,,,,"2013-10-17",
