"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo6no8u-105c9jd7l92r4","d3m0bo6no8u-105c9jd7l92r4","CorporateBody","Radio-Télé-Luxembourg","RTL",,,,,,
"agent/FRAN_RI_013-d3m0bo5qwwi-uteo6287ots7","d3m0bo5qwwi-uteo6287ots7","CorporateBody","Régie autonome des transports parisiens","RATP",,,,,,
"agent/FRAN_RI_013-d3m0bo53ebs--fzzl4v71wcx4","d3m0bo53ebs--fzzl4v71wcx4","CorporateBody","Régie française de publicité",,,,,,,
"agent/FRAN_RI_013-d3m0bo67cr4-1xy6lbaie8qqa","d3m0bo67cr4-1xy6lbaie8qqa","CorporateBody","Renault",,,,,,,
"agent/FRAN_RI_013-d3m0bo6to5b--2xurwub5yrxo","d3m0bo6to5b--2xurwub5yrxo","CorporateBody","Réunion des théâtres lyriques de France",,,,,,,
"agent/FRAN_RI_013-d3m0bo6hp4v-13dhzi8h5ny3z","d3m0bo6hp4v-13dhzi8h5ny3z","CorporateBody","Réunion des théâtres lyriques nationaux (France)",,,,"1939-1978.",,,
"agent/FRAN_RI_013-d3m0bo6rmgp-csir6lqtziwl","d3m0bo6rmgp-csir6lqtziwl","CorporateBody","Rhône-Poulenc",,,,,,,
"agent/FRAN_RI_013-d3m0bo5wsud-15ix4rtrh7ie3","d3m0bo5wsud-15ix4rtrh7ie3","CorporateBody","Royal Air Maroc",,,,,,,
"agent/FRAN_RI_013-d-2dgobp4he-xtm4nken4wh","d-2dgobp4he-xtm4nken4wh","CorporateBody","Sentis [A], père et fils et Cie",,,,,,,
"agent/FRAN_RI_013-d-2opx72lrz-erc8oirc66ok","d-2opx72lrz-erc8oirc66ok","CorporateBody","Société anonyme de l'Imprimerie chromotypographique",,,,,,,
"agent/FRAN_RI_013-d3m0bo5n3u1-12jpnshyhv14g","d3m0bo5n3u1-12jpnshyhv14g","CorporateBody","Société des Nations","SDN",,,,,,
"agent/FRAN_RI_013-d3m0bo6vpfp--1a0x3bp0fswq8","d3m0bo6vpfp--1a0x3bp0fswq8","CorporateBody","Société française de production",,,,,,,
"agent/FRAN_RI_013-d-4jpfz1ov8-hgzftqa1mw2p","d-4jpfz1ov8-hgzftqa1mw2p","CorporateBody","Société générale de crédit mobilier espagnol",,"1891-01-01",,,,,
"agent/FRAN_RI_013-d-6me26sfgfq--9aqe2oqd9wo6","d-6me26sfgfq--9aqe2oqd9wo6","CorporateBody","Société Grahal",,,,,,,
"agent/FRAN_RI_013-d-1pry5ksy1-wx5mgpvmaxpd","d-1pry5ksy1-wx5mgpvmaxpd","CorporateBody","Société houillère de Santa-Ana",,,,,,,
"agent/FRAN_RI_013-d-2srvaonyj-1i3jrzv3p6nci","d-2srvaonyj-1i3jrzv3p6nci","CorporateBody","Société Italo Française d'Automobile",,"1890-01-01",,,,,
"agent/FRAN_RI_013-d3m0bo5y2sp--1bw717c8vluvu","d3m0bo5y2sp--1bw717c8vluvu","CorporateBody","Société nationale d'étude et de construction de moteurs d'aviation (France)","SNECMA",,,,,,
"agent/FRAN_RI_013-d3m0bo6rxya-1rz8zs9kx5c1b","d3m0bo6rxya-1rz8zs9kx5c1b","CorporateBody","Société nationale de sauvetage en mer (France)","SNSM | Hospitaliers-Sauveteurs Bretons | Société centrale de sauvetage des naufragés (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6a2zy-u7eyhukaczwh","d3m0bo6a2zy-u7eyhukaczwh","CorporateBody","Société nationale des chemins de fer français","SNCF",,,,,,
"agent/FRAN_RI_013-d3m0bo67iar--e7e1n2tx6n33","d3m0bo67iar--e7e1n2tx6n33","CorporateBody","Société nationale des entreprises de presse (France)",,,,"1946-1992.",,,
"agent/FRAN_RI_013-d3m0bo6lzmu--m03upcp11fka","d3m0bo6lzmu--m03upcp11fka","CorporateBody","Société nationale maritime Corse Méditerranée","CGTM | Compagnie générale transméditerranéenne | SNCM",,,,,,
"agent/FRAN_RI_013-d-4bgnwkefb-f5oqa4t9hf2t","d-4bgnwkefb-f5oqa4t9hf2t","CorporateBody","Société nationale vinicole (France, 1886-....)",,"1886-01-01",,,,,
"agent/FRAN_RI_013-d3m0bo70pae-16cqgc2i26djw","d3m0bo70pae-16cqgc2i26djw","CorporateBody","Société pour l'expansion des ventes des produits agricoles et alimentaires",,,,,,,
