"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/esplanade",,"PlaceType","esplanade",,"« Une esplanade est un terrain plat devant une citadelle, glacis s’étendant jusqu’aux portes d’une ville ou, plus généralement, un espace uni et découvert situé devant ou aux abords d’un édifice ». (source: Wikipédia).",,"placeType/place","place",,,"http://www.wikidata.org/entity/Q88372",,,,,"2025-03-12 : Concept ajouté."
"placeType/fausse%20porte",,"PlaceType","fausse porte",,"« Une fausse porte est une représentation artistique d’une porte, mais qui ne fonctionne pas comme une vraie ». (source: Wikipédia).",,,,,"placeType/porte",,,,,,"2025-03-12 : Concept ajouté."
"placeType/for%C3%AAt",,"PlaceType","forêt","bois",,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
"placeType/fortification",,"PlaceType","fortification",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/galerie",,"PlaceType","galerie","galeries","« Une galerie est un espace couvert ayant une fonction de lieu de séjour et de lieu de circulation ». (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q164419",,,,,"2025-03-12 : Concept ajouté."
"placeType/gare%20ferroviaire",,"PlaceType","gare ferroviaire",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/gorge",,"PlaceType","gorge","canyon","Une gorge (appelé aussi en anglais canyon, de l’espagnol cañón), est un passage encaissé entre deux reliefs résultant de l’érosion hydraulique sur tout type de roche mais préférentiellement sur les sédimentaires. Une gorge peut-être confondue avec une clue ou un défilé. (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,,,,,"2020-08-14 : Ajouté le 14 août 2020."
"placeType/grotte",,"PlaceType","grotte",,"En géomorphologie, une grotte est une cavité souterraine naturelle comportant au moins une partie horizontale accessible (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,,,,,"2020-08-14 : Ajouté le 14 août 2020."
"placeType/hameau",,"PlaceType","hameau","écart","Groupe d’habitations en milieu rural, généralement trop petit pour être considéré comme un village. L’élément fondateur est très souvent une ferme (source : Wikipédia).",,,,,,"http://www.wikidata.org/entity/Q5084",,,,,"2025-03-01 : Ajouté le rdfs:seeAlso et un exactMatch vers le même concept dans le Thésaurus de la désignation des œuvres architecturales et des espaces aménagés"
"placeType/h%C3%B4pital",,"PlaceType","hôpital",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
