"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/gibet",,"PlaceType","gibet",,"Un gibet est une potence ou ensemble de potences où l’on pendait les condamnés à mort. Par extension, le terme en est venu à désigner non plus seulement l’instrument, mais aussi l’endroit lui-même, devenu un lieu identifié dans la ville. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Montfaucon, gibet de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzulpid9--ter7gt26sv7c]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-249","https://fr.wikipedia.org/wiki/Potence_(pendaison) | https://www.wikidata.org/wiki/Q243778 | http://fr.dbpedia.org/page/Potence_(pendaison) | https://data.bnf.fr/ark:/12148/cb144696474",,,,"2026-02-23 : Concept ajouté."
"placeType/gorge",,"PlaceType","gorge","canyon","Une gorge (appelé aussi en anglais canyon, de l’espagnol cañón), est un passage encaissé entre deux reliefs résultant de l’érosion hydraulique sur tout type de roche mais préférentiellement sur les sédimentaires. Une gorge peut-être confondue avec une clue ou un défilé. (source : Wikipédia).",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q150784",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/grand%20magasin",,"PlaceType","grand magasin",,"Un grand magasin est un commerce de détail multi-spécialiste exploité par une société commerciale unique.L’assortiment des marchandises proposé est large. Généralement implantée en centre-ville et occupant plusieurs étages d’un bâtiment, cette forme de commerce apparaît au cours de la seconde partie du XIXe siècle. (Source : Wikipédia)",,"Louvre, grands magasins du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzukrfmb-q066c4of59cw]","placeType/%C3%A9difice%20ou%20local%20commercial","édifice ou local commercial",,"https://data.bnf.fr/ark:/12148/cb119344894 | http://fr.dbpedia.org/page/Grand_magasin",,,,,"2026-02-23 : Concept ajouté."
"placeType/grotte",,"PlaceType","grotte",,"En géomorphologie, une grotte est une cavité souterraine naturelle comportant au moins une partie horizontale accessible (source : Wikipédia).",,"Pierre Saint-Martin, Gouffre de la (Pyrénées-Atlantiques) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-80zojg4za--1tg4s9rg1p87p]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q35509",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/hameau",,"PlaceType","hameau","écart","« Un hameau, ou un écart, est un groupe d’habitations en milieu rural, généralement trop petit pour être considéré comme un village. L’élément fondateur est très souvent une ferme. » (Source : Wikipédia)",,"Cerneux-Monnots (Bonnétage ; hameau) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-35nu76u2g-ulv7d2fqbz3o]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,"http://www.wikidata.org/entity/Q5084",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/h%C3%B4pital",,"PlaceType","hôpital",,"Un hôpital est un établissement dans lequel sont associés des services de médecine et de chirurgie générales à des services relevant des principales spécialités médico-chirurgicales ainsi qu’à des laboratoires. Quelle que soit sa taille, il abrite généralement une morgue et un lieu de prière (chapelle, etc.). Les différents services peuvent être répartis dans un ensemble de bâtiments ou sous un toit unique. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Baudelocque, hôpital (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzufc9vz--8tcoxqity82k]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q16917 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-292 | https://data.bnf.fr/ark:/12148/cb11940402g | http://fr.dbpedia.org/page/H%C3%B4pital",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/hospice",,"PlaceType","hospice",,"Un hospice est le lieu abritant un établissement destiné à héberger et soigner les personnes indigentes (orphelins, vieillards, etc.) (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Convalescents, hospice des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuhn818-13qjjoykl102a]","placeType/lieu%20d%E2%80%99assistance%20ou%20de%20protection%20sociale","lieu d’assistance ou de protection sociale",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-287 | https://www.wikidata.org/wiki/Q608152 | http://fr.dbpedia.org/page/Hospice",,,,,"2026-02-23 : Concept ajouté."
"placeType/h%C3%B4tel",,"PlaceType","hôtel",,"Dans l’architecture classique, un hôtel est la demeure citadine d’un grand seigneur ou d’un riche particulier ou un établissement public, accompagnée généralement de communs, d’une cour et d’un jardin. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Brienne, hôtel de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzug43ld-1mm0rn8yx1p59]","placeType/%C3%A9difice%20%C3%A0%20usage%20d%E2%80%99habitation","édifice à usage d’habitation",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-517 | https://data.bnf.fr/ark:/12148/cb11959153x","http://fr.dbpedia.org/page/H%C3%B4tel_particulier",,,,"2026-02-23 : Concept ajouté."
"placeType/h%C3%B4tel%20meubl%C3%A9",,"PlaceType","hôtel meublé","hôtel garni","Un hôtel meublé, aussi appelé un garni (sens vieilli) est, en France, un établissement offrant des prestations hôtelières (draps, téléphone…) mais qui sert en général de résidence principale à ses résidents. C’est néanmoins le plus souvent une résidence considérée comme transitoire avant de trouver une résidence permanente indépendante. (Source : Wikipédia)",,"Albe, hôtel garni d’ [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuerfqp-owebv47396dq]","placeType/%C3%A9difice%20%C3%A0%20usage%20d%E2%80%99habitation","édifice à usage d’habitation",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%AEle",,"PlaceType","île",,"Une île est une masse de terre entourée d’eau de manière permanente ou parfois de manière temporaire en fonction des marées. L’eau baignant les îles peut être celle d’un océan, d’une mer, d’un lac ou d’un cours d’eau. Les îles peuvent être temporaires (banc de sable, volcans, etc.) ou permanentes, isolées ou groupées avec d’autres îles et peuvent alors former un archipel. Une petite île est parfois désignée sous les termes d’îlet ou d’îlot. Les îles peuvent être reliées à d’autres îles ou à un continent par une chaussée, un pont ou un tunnel (source : Wikipédia).",,"Berder, île de (Lamor-Baden ; île) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-7ru6fjocw-165d9c54ak1ea]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q23442 | https://data.bnf.fr/fr/ark:/12148/cb119499428",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/impasse",,"PlaceType","impasse","cul-de-sac | cul-de-sac de la rue | petite impasse | passage du cul-de-sac","« Une impasse, aussi appelée cul-de-sac ou voie sans issue, est une voie aérienne (rue, ruelle) ou souterraine (galerie, tunnel) ne possédant qu’un seul point d’entrée et sortie pour les véhicules, et qui nécessite par conséquent de faire un demi-tour ou une marche arrière pour pouvoir en sortir ». (source: Wikipédia).",,"impasse Alexandre Dumas (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8fwqei--x30t2c3oz45k]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q12731 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-68 | http://fr.dbpedia.org/resource/Impasse",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/institut%20culturel",,"PlaceType","institut culturel",,"Un lieu abritant une organisation qui œuvre à la préservation ou à la promotion de la culture. (Source : Wikipédia)",,"Irlandais, institut culturel [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzujngz4-1mdj6j0eyxsw3]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/institut%20national",,"PlaceType","institut national",,"Un institut national est une organisation publique d’envergure nationale, généralement placée sous la tutelle de l’État, qui exerce des missions de recherche, de formation, de conservation, de normalisation ou de diffusion des savoirs dans un domaine spécifique. Il constitue une référence scientifique, culturelle ou technique reconnue au niveau national et, parfois, à l’échelle internationale.",,"Jeunes sourds, institut national de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugtjc1--1hokukoerkozk]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/jardin",,"PlaceType","jardin",,"Un jardin est un ""espace organisé, public ou privé, comportant des végétaux en pleine terre ou hors sol."" (Source : Les vocabulaires du Ministère de la Culture et de la Communication)""",,"Tuileries, jardin des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuqar5w--juhxp1bfs0yz]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1116 | http://dbpedia.org/ontology/Garden",,,,,"2026-02-23 : Concept ajouté."
"placeType/lac",,"PlaceType","lac",,"Un lac est une étendue d’eau terrestre : bassin, étang, lac, mare (source : vocabulaire IGN).",,"Bosméléac, lac de (Côtes-d’Armor ; lac) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-7b2wo51gg-flwr84h4ngl4]","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","élément d’hydrographie",,"http://data.ign.fr/id/codes/topo/typedezai/Lac",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s)"
"placeType/lieu-dit",,"PlaceType","lieu-dit",,"Un lieu-dit est un endroit de faible étendue auquel est associé un nom propre. Contrairement au hameau, un lieu-dit n’est pas forcément un lieu habité, il peut être un champ, un carrefour ou encore un bois. Il s’agit en fait d’un lieu marqué dans le paysage par un établissement ou un aménagement humain, sélectionné parmi l’ensemble des microtoponymes dans la nomenclature, la cartographie et la signalétique officielle des lieux d’un pays.",,"Becléguer (Lannion ; lieu-dit) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-57bir2eed--19uuyuyhzy62n]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/lieu%20d%E2%80%99assistance%20ou%20de%20protection%20sociale",,"PlaceType","lieu d’assistance ou de protection sociale",,"Un lieu d’assistance ou de protection sociale est une ""Construction ou groupe de constructions abritant des activités d’assistance privée, religieuse ou civile, ou de protection sociale."" (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/lieu%20d%E2%80%99enseignement",,"PlaceType","lieu d’enseignement",,"Un lieu d’enseignement est un lieu occupé par une organisation qui offre un service d’éducation, sous forme d’objectif principal ou auxiliaire. Il peut s’agir d’un établissement d’enseignement public ou d’une entreprise privée, d’une organisation non-gouvernementale ou d’un organisme public dont l’objet n’est pas l’enseignement. (Source : Réseau Inter-agences pour l’Éducation en Situations d’Urgence )",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T1-662",,,,,"2026-02-23 : Concept ajouté."
"placeType/lyc%C3%A9e",,"PlaceType","lycée",,"Un lycée est le lieu abritant un ""Établissement d’enseignement général ou technique, dispensant l’enseignement du second cycle."" (Source : Les vocabulaires du Ministère de la Culture et de la Communication)",,"Henri IV, lycée (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugar3r-1lgo6pkzgsbir]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,"http://data.bnf.fr/ark:/12148/cb11963528k | http://fr.dbpedia.org/resource/Lyc%C3%A9e_en_France",,,,,"2026-02-23 : Concept ajouté."
"placeType/maison",,"PlaceType","maison",,"Le mot ""maison"" désigne un lieu bâti identifié, souvent porteur d’un rôle institutionnel, religieux, social ou symbolique, et nommé en fonction de sa fonction, de ses occupants ou d’une enseigne.",,"Orphelines de la Légion d’honneur, maison des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugg7zp--1s7fmc2ryxhen]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/maison%20de%20sant%C3%A9",,"PlaceType","maison de santé",,"Une maison de santé est un lieu de soins de premier recours, doté de la personnalité morale, réunissant de manière organisée plusieurs professionnels médicaux, auxiliaires médicaux et, le cas échéant, pharmaciens, afin d’assurer une prise en charge coordonnée des patients.(Souce Sante.gouv.fr)",,"maison de santé de la Butte Montmartre [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cufzdvo--yjzyoqlv32yq]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/manoir",,"PlaceType","manoir",,"« Un manoir est avant tout le siège d’un domaine d’origine seigneuriale. C’est un terme utilisé majoritairement dans le nord de la France. C’est la résidence ou la demeure d’un noble, son logis seigneurial. La maison forte (manoir fortifié) n’est ni plus ni moins qu’un manoir qui arbore des éléments défensifs (fossé, plate-forme ou talus) à la différence de la « maison manoriale » (manoir non fortifié) ». (source: Wikipédia).",,"Chaubuisson, manoir de (Fontenay-Trésigny ; manoir) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1g85e564g-1gevlw0qmc7tu]","placeType/%C3%A9difice%20%C3%A0%20usage%20d%E2%80%99habitation","édifice à usage d’habitation",,"https://www.wikidata.org/wiki/Q2116450 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-522 | https://data.bnf.fr/ark:/12148/cb12139586b | http://fr.dbpedia.org/page/Manoir",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/manufacture",,"PlaceType","manufacture",,"""Une manufacture (du latin manufactura, « fait à la main ») est un lieu de fabrication dans lequel des produits sont à l’origine fabriqués à la main par des ouvriers et qui sert à désigner aujourd’hui une entreprise dans laquelle les biens sont produits directement ou indirectement (robotisation) par l’homme."" (Source wikipedia)",,"Manufacture de la Savonnerie [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzupkkb1--19j4xyyvk42mj]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://data.bnf.fr/ark:/12148/cb15565552s | https://www.wikidata.org/wiki/Q380342 | http://data.culture.fr/thesaurus/page/ark:/67717/T1-1402",,,,,"2026-02-23 : Concept ajouté."
"placeType/manufacture%20royale",,"PlaceType","manufacture royale",,"Une manufacture royale est un lieu de fabrication développé en France aux XVIIe et XVIIIe siècles avec le soutien du pouvoir royal (Souce : Wikidata)",,"Tabacs, manufacture royale des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuprcja--1eott59jpdcko]","placeType/manufacture","manufacture",,"https://www.wikidata.org/wiki/Q105071173",,,,,"2026-02-23 : Concept ajouté."
"placeType/march%C3%A9",,"PlaceType","marché",,"Un marché est un ""espace public ou édifice où l’on vend toutes sortes de marchandises, sur des étals fixes ou mobiles"" (Source : Les vocabulaires du Ministère de la Culture et de la Communication)",,"Saint-Martin, marché (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cug8410--6cvt8k531pzf]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://fr.dbpedia.org/page/March%C3%A9 | http://vocab.getty.edu/aat/300005238","http://data.bnf.fr/ark:/12148/cb119344952",,,,"2026-02-23 : Concept ajouté."
"placeType/massif",,"PlaceType","massif","massif montagneux","Un massif est un ensemble de montagnes formant un bloc continu qui suit une ligne de crête, et s’oppose à une chaîne de montagnes. Il présente la particularité de former un ensemble de reliefs continus, séparé souvent par des rivières, des vallées, entourés d’abîmes ou des reliefs distincts (source : Wikipédia).",,"Alpes (massif) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3ntxq5e6s-3b4l4rx947ol]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q1061151",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/monast%C3%A8re",,"PlaceType","monastère",,"""Un monastère est un ensemble de bâtiments où vit une communauté religieuse de moines ou de moniales. ""(Source Wikipedia)",,"Notre-Dame-de-Grâce, monastère de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzum2g6x--ypoc3k7w2mcf]","placeType/%C3%A9tablissement%20conventuel","établissement conventuel",,"https://www.wikidata.org/wiki/Q44613 | https://dbpedia.org/ontology/Monastery","http://data.culture.fr/thesaurus/page/ark:/67717/T1-529",,,,"2026-02-23 : Concept ajouté."
"placeType/montagne",,"PlaceType","montagne","mont","Un mont est une forme topographique de relief positif, à la surface de planètes telluriques, et faisant partie d’un ensemble — une chaîne de montagnes — ou formant un relief isolé (source : Wikipédia).",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://data.bnf.fr/ark:/12148/cb119323641","http://data.ign.fr/id/codes/topo/typederelief/Montagne",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/monument%20comm%C3%A9moratif",,"PlaceType","monument commémoratif","mémorial","Un monument commémoratif est un monument érigé en souvenir d’un événement, ou / et, en l’honneur d’une ou plusieurs personnes décédées (source : Wikipédia).",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Ajout des données suivantes : définition"
"placeType/noviciat",,"PlaceType","noviciat",,"Un noviciat est un lieu servant à l’éducation des novices d’un ordre religieux chrétien. (Source : Les vocabulaires du Ministère de la Culture et de la Communication)",,"Jésuites, noviciat des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzujslhs-1tf8hylsls7r5]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/ob%C3%A9lisque",,"PlaceType","obélisque",,"Un obélisque est un ""monument en forme de pyramide élancée, habituellement terminé par un amortissement qui remplace la pointe trop fragile que formerait la rencontre des faces. ""(Source : Les vocabulaires du Ministère de la Culture et de la Communication)","L’obélisque se distingue de la pyramide par sa hauteur qui est supérieure à trois fois la moitié de sa base.","Obélisque de Louxor [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuksfu0-1anzqi7m6jvxp]","placeType/monument%20comm%C3%A9moratif","monument commémoratif",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-192 | http://data.bnf.fr/ark:/12148/cb119780487 | http://vocab.getty.edu/aat/300007021 | http://fr.dbpedia.org/resource/Ob%C3%A9lisque",,,,,"2026-02-23 : Concept ajouté."
"placeType/observatoire",,"PlaceType","observatoire",,"Un observatoie est un lieu abritant les services d’un établissement de recherche et l’instrumentation nécessaires aux observations, mesures et analyses en astronomie (astrométrie, astrophysique, etc.) et/ou en géophysique (météorologie, géomagnétisme, sismologie, etc.). (Source : Les vocabulaires du Ministère de la Culture et de la Communication)","Pour étudier l’instrumentation, voir le Thesaurus des objets mobiliers.","Montsouris, observatoire de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzulsvq8-11znz4cr4n6u9]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-387 | http://vocab.getty.edu/aat/300007680 | http://fr.dbpedia.org/resource/Observatoire_astronomique","http://data.bnf.fr/ark:/12148/cb11981276j",,,,"2026-02-23 : Concept ajouté."
"placeType/orangerie",,"PlaceType","orangerie",,"Une orangerie est un bâtiment ou une pièce chauffée où l’on remise l’hiver les orangers et autres arbres et plantes en pot pour les protéger du gel.",,"Orangerie des Tuileries [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuqbmmw--ec855ok25fd6]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1165 | http://vocab.getty.edu/aat/300006804 | http://data.bnf.fr/ark:/12148/cb12080670x | http://fr.dbpedia.org/resource/Orangerie",,,,,"2026-02-23 : Concept ajouté."
"placeType/oratoire",,"PlaceType","oratoire",,"Un oratoire est un ""Petit édifice ou édicule où l’on se retire pour faire oraison : contrairement à la chapelle l’oratoire n’a pas d’autel consacré. Il peut aussi consister en une peinture ou une sculpture placée dans une niche, sous un dais ou sur un support spécifique."" (Source : Les vocabulaires du Ministère de la Culture et de la Communication)",,"Oratoire du Louvre [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d5bknx6p64--8gwd05y7ujsi]","placeType/%C3%A9dicule%20religieux","édicule religieux",,"http://vocab.getty.edu/aat/300007459 | http://data.bnf.fr/ark:/12148/cb126524363 | http://fr.dbpedia.org/resource/Oratoire_%28%C3%A9difice_religieux%29",,,,,"2026-02-23 : Concept ajouté."
"placeType/ouvrage%20li%C3%A9%20%C3%A0%20l%E2%80%99alimentation%20en%20eau",,"PlaceType","ouvrage lié à l’alimentation en eau",,"Un ""Aménagement ou mobilier permettant de recueillir ou de faire circuler l’eau.""(Source : Thésaurus de la désignation des objets mobiliers)",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie",,"https://data.bnf.fr/ark:/12148/cb119421860 | http://fr.dbpedia.org/page/Adduction_d’eau",,,,"2026-02-23 : Concept ajouté."
"placeType/palais",,"PlaceType","palais",,"""Un palais peut être : le lieu de résidence urbaine d’un personnage important, vivant un train de vie princier ou fastueux ; le siège d’une institution publique, dans lequel se déroule l’exercice du pouvoir; au figuré, une exagération flatteuse pour un manoir ou une grande propriété."" (Source : Wikipédia)",,"Orsay, palais d’ (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzumefyi-l5d82y9cbl8v]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-523 | http://vocab.getty.edu/aat/300005734 | http://data.bnf.fr/ark:/12148/cb11937594q | http://fr.dbpedia.org/resource/Palais",,,,,"2026-02-23 : Concept ajouté."
"placeType/parc",,"PlaceType","parc",,"Un parc est un ""jardin clos de grande superficie, public ou privé, en général d’agrément, présentant un important couvert. On nomme parc ouvert celui dont les limites ne sont pas closes. ""(Source : Les vocabulaires du Ministère de la Culture et de la Communication)",,"Montsouris, parc (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzult7l1--eq5dswmvk0y8]","placeType/jardin","jardin",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1134 | http://data.bnf.fr/ark:/12148/cb11933025j | http://vocab.getty.edu/aat/300254248 | http://fr.dbpedia.org/resource/Parc",,,,,"2026-02-23 : Concept ajouté."
"placeType/parc%20industriel",,"PlaceType","parc industriel",,"« Un parc industriel, aussi appelé zone industrielle ou site industriel, est une zone d’activité prévue pour un usage industriel ». (source: Wikipédia)",,"Bataville (Moussey ; parc industriel) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1g85e4q88--1dt4ywffcrc53]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q1662100","http://data.ign.fr/id/codes/topo/typedezai/ZoneIndustrielle",,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/paroisse",,"PlaceType","paroisse",,"La paroisse est le territoire de la subdivision de base, dans le christianisme, d’un diocèse de l’Église. La paroisse occupe un rôle essentiel dans la vie religieuse, elle est le lieu de culte, de célébration pour les croyants (source : Wikipédia).",,"La Madeleine (Paris, France ; paroisse) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_024-d3nyvp4aef--lj9z4juc8apm]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,"https://www.wikidata.org/wiki/Q102496 | https://data.bnf.fr/ark:/12148/cb11941179g","http://data.culture.fr/thesaurus/page/ark:/67717/T96-96",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/paroisse%20de%20Paris%20avant%201789",,"PlaceType","paroisse de Paris avant 1789",,"Les paroisses de Paris, à la fin de l’Ancien Régime, couvrent la zone urbaine du territoire du diocèse de Paris selon les déclarations de patrimoine établies par leurs curés en 1790 et les relevés des prestations de serment de leurs prêtres à la Constitution civile du clergé les 9 et 16 janvier 1791. Cette organisation est sensiblement modifiée au début de 1791. (Source : Wikipédia)",,"Saint-André-des-Arts (Paris, France ; paroisse) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_024-d3nyvosba5--16qzzcu3058e5]","placeType/paroisse","paroisse",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/parvis",,"PlaceType","parvis",,"« Un parvis est l’espace ouvert devant l’entrée d’une église dont le périmètre est délimité par une clôture ». (source: Wikipédia)",,"parvis de la Raison (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzcry5js-1ev7geaq4hery]","placeType/place","place",,"http://www.wikidata.org/entity/Q283977 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-55 | http://fr.dbpedia.org/page/Parvis | https://data.bnf.fr/ark:/12148/cb123491994",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
