"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d699mrenajf-l4iukoray6sl","d699mrenajf-l4iukoray6sl","Thing","Convention de Schengen (1985)","accord de Schengen","L'accord de Schengen a été signé en 1985 et la convention de Schengen en 1990. Ils autorisent la libre circulation des personnes entre états signataires (sauf le Royaume-Uni et l'Irlande, mais avec l’Islande et la Norvège qui n’appartenait pas à la CEE) , harmonisent les contrôles des voyageurs en provenance des autres pays et créent une coopération policière et judiciaire notamment dans le cadre d'EUROPOL.",,"thing/FRAN_RI_004-d3ndf0t0ly--4tdn61a25ol2","droit communautaire",,,,,,,,
"thing/FRAN_RI_004-d3ndfijn3w--1umsehbrzu6ku","d3ndfijn3w--1umsehbrzu6ku","Thing","convention médicale",,,,"thing/FRAN_RI_004-d3ndfihuvd-pv77iggki08p","sécurité sociale",,,,,,,,
"thing/FRAN_RI_004-d-2ipxfisz8--ymq1o9yy0u7j","d-2ipxfisz8--ymq1o9yy0u7j","Thing","Convention nationale",,"1793-1795.",,"thing/FRAN_RI_004-d-2ipxfgxxu--9nlo0e55nnlx","Première République",,,,,,,,
"thing/FRAN_RI_004-d3m010pqc9v--16zyrt1eln053","d3m010pqc9v--16zyrt1eln053","Thing","coopérant",,,,"thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","coopération",,,,,,,,
"thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","d3ndez23q5-132p8iwalsp9u","Thing","coopération","coopération technique | coopération bilatérale | coopération internationale",,,"thing/FRAN_RI_004-d3ndez1895--6mjv2lzoycy3","relations internationales",,,,,,,,
"thing/FRAN_RI_004-d3ndez2v3o--xg1cmzd4dw3u","d3ndez2v3o--xg1cmzd4dw3u","Thing","coopération culturelle",,,"Concerne tous projets culturels et de formation. A utiliser pour les accords culturels.","thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","coopération",,,,,,,,
"thing/FRAN_RI_004-d3ndez4hax-2yja1ymrgb77","d3ndez4hax-2yja1ymrgb77","Thing","coopération économique",,,,"thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","coopération",,"thing/FRAN_RI_004-d3ndf0kv0n-19cyhlxgxybou",,,,,,
"thing/FRAN_RI_004-d3ndetsxc7--yr95q43sv6ay","d3ndetsxc7--yr95q43sv6ay","Thing","coopération intercommunale","intercommunalité",,,"thing/FRAN_RI_004-d3ndets0cw-1tf97ph3jc97h","établissement public",,,,,,,,
"thing/FRAN_RI_004-d3ndez5ama--1uztjg1tloxvg","d3ndez5ama--1uztjg1tloxvg","Thing","coopération militaire",,,,"thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","coopération",,,,,,,,
"thing/FRAN_RI_004-d3ndez61cj--4r2d6w7cd2qx","d3ndez61cj--4r2d6w7cd2qx","Thing","coopération scientifique",,,"Comprend aussi les échanges de technologies.","thing/FRAN_RI_004-d3ndez23q5-132p8iwalsp9u","coopération",,"thing/FRAN_RI_004-d3ndfxc462--1gptf61pbux7y",,,,,,
