"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"occupationType/FRAN_RI_010-d699msjywdy--1v2ykrath5h63","d699msjywdy--1v2ykrath5h63","OccupationType","passementier","toilier | rubanier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjjzl8--ua1icmr1j3hs","d699msjjzl8--ua1icmr1j3hs","OccupationType","pasteur",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiqaqw--d1ehei1hzuy3","d699msiqaqw--d1ehei1hzuy3","OccupationType","pâtissier","oublieur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl753k8--1xdrv4b19n87m","d3m0bl753k8--1xdrv4b19n87m","OccupationType","paumier",,"Directeur d'une salle de jeu de paume.",,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjrlc4-1o42iifxh4nku","d699msjrlc4-1o42iifxh4nku","OccupationType","paveur-dalleur","carreleur-mosaïste | moquettiste-solier | parqueteur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msju4ul--10373pimp5ls7","d699msju4ul--10373pimp5ls7","OccupationType","paysagiste",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msit6xq-1e7tbhtd3o7v6","d699msit6xq-1e7tbhtd3o7v6","OccupationType","peintre","artiste peintre",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjevrr-nwali0e7hhuk","d699msjevrr-nwali0e7hhuk","OccupationType","peintre en bâtiment",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk528k--nptwe9to3wux","d699msk528k--nptwe9to3wux","OccupationType","percepteur","élu d'élection | receveur-percepteur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl72k1u--1fkdzqu8xv3r8","d3m0bl72k1u--1fkdzqu8xv3r8","OccupationType","personnel administratif",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl71hmh-rksoyqwhtbq","d3m0bl71hmh-rksoyqwhtbq","OccupationType","personnel médical",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6zf5b--1qswhgkhysd6c","d3m0bl6zf5b--1qswhgkhysd6c","OccupationType","personnel navigant",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl71sps--p3xrsu5smb9a","d3m0bl71sps--p3xrsu5smb9a","OccupationType","personnel paramédical",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl73yd1-wqyxe7kxb0p7","d3m0bl73yd1-wqyxe7kxb0p7","OccupationType","personnel technique",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiyuyk--xr0m9w1fjqyu","d699msiyuyk--xr0m9w1fjqyu","OccupationType","pharmacien","apothicaire",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjc4qa-1rm5osxqzj5v1","d699msjc4qa-1rm5osxqzj5v1","OccupationType","photographe",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msimk1v-1gcd0ugvoeiuw","d699msimk1v-1gcd0ugvoeiuw","OccupationType","pilote d'avion","aviateur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msin2o6-103zw4s4x9u6w","d699msin2o6-103zw4s4x9u6w","OccupationType","pipier",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjxiv8--4gv49noz3uec","d699msjxiv8--4gv49noz3uec","OccupationType","plombier","fontainier | chauffagiste",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjmipf-1mourvd4o84cd","d699msjmipf-1mourvd4o84cd","OccupationType","poissonnier","écailler | mareyeur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6yk8x-1vbqofckzmkjn","d3m0bl6yk8x-1vbqofckzmkjn","OccupationType","policier","commissaire de police | inspecteur de police | gardien de la paix",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msioky1--1bpog03944vg3","d699msioky1--1bpog03944vg3","OccupationType","pompier","sapeur-pompier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl77ono--1v0mi2fkbap3u","d3m0bl77ono--1v0mi2fkbap3u","OccupationType","porcelainier",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-30h8bmhxa1--a0l5qlo7ojo2","d-30h8bmhxa1--a0l5qlo7ojo2","OccupationType","porte-parole au cabinet du président de la République",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msis82p--1lv2p14dqjh97","d699msis82p--1lv2p14dqjh97","OccupationType","potier","céramiste",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjz3io-bntweexnliwe","d699msjz3io-bntweexnliwe","OccupationType","précepteur",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3nyu9xige-1dbbvsqzr0tfp","d3nyu9xige-1dbbvsqzr0tfp","OccupationType","préfet",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-klwqk3wg-1g6jplogitypz","d-klwqk3wg-1g6jplogitypz","OccupationType","préfet de police de Paris",,"Le préfet de police de Paris, sous l'autorité du ministre de l'Intérieur, est responsable de l’ensemble du dispositif de sécurité intérieure sur le territoire de Paris et des départements des Hauts-de-Seine, de la Seine-Saint-Denis et du Val-de-Marne. Il a, à ce titre, la charge de l'ordre public, qu'il met en œuvre au travers de ses propres directions de police ou en faisant appel aux unités de la gendarmerie nationale ou aux compagnies républicaines de sécurité. (Source : https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_police_(Paris))",,,,,,,,,,,"26/07/2022 : Ajouté le [26/07/2022]"
"occupationType/FRAN_RI_010-d-m731olpw-12gkbu74ika32","d-m731olpw-12gkbu74ika32","OccupationType","préfet de police des Bouches-du-Rhône","préfet de police de Marseille","Le préfet de police des Bouches-du-Rhône dirige la préfecture de police des Bouches-du-Rhône, qui est l'institution chargée de mettre en œuvre la politique nationale de sécurité intérieure dans le département des Bouches-du-Rhône. La fonction de préfet de police des Bouches-du-Rhône est créée par décret en date du 15 octobre 2012. Un préfet délégué pour la police a été institué dans les Bouches-du-Rhône en 1972. Renommé en 1989 préfet adjoint pour la sécurité, puis en 1993, préfet délégué pour la sécurité et la défense. Couramment dénommés « préfet de police », ces préfets assistent en fait le préfet de zone pour animer et coordonner l’action des services de police dans le département. À la suite de nombreux règlements de compte impliquant des trafiquants de drogue dans l'agglomération marseillaise,un préfet de police de plein exercice pour les Bouches-du-Rhône en 2012. (Source : https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_police_des_Bouches-du-Rh%C3%B4ne)",,,,,,,,,,,"26/07/2022 : Ajouté le [26/07/2022]"
"occupationType/FRAN_RI_010-d-49tropmms--1faf9966yyf3a","d-49tropmms--1faf9966yyf3a","OccupationType","préfet de région",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk0img--7efh792syhb7","d699msk0img--7efh792syhb7","OccupationType","premier ministre",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl72qsa--ekenid4c2nma","d3m0bl72qsa--ekenid4c2nma","OccupationType","président au parlement (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6xk75-11orc8pf2e2re","d3m0bl6xk75-11orc8pf2e2re","OccupationType","président de cour souveraine (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-41kf2wyvg--v3k9tf24otg4","d-41kf2wyvg--v3k9tf24otg4","OccupationType","président de l'Assemblée constituante",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjhgh0--4j827yzv1s19","d699msjhgh0--4j827yzv1s19","OccupationType","président de l'Assemblée nationale",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-41suuyxf0--1f45hruwtz9py","d-41suuyxf0--1f45hruwtz9py","OccupationType","président de l'Assemblée nationale législative",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-425zo373c-1f5ywkn7d9pxa","d-425zo373c-1f5ywkn7d9pxa","OccupationType","président de la Chambre des députés",,,,,,,,,,,,,
