"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/FRAN_RI_011-d3nyuiihz0-a8ekfbm461kd","d3nyuiihz0-a8ekfbm461kd","ActivityType","statistique","recensement",,,,,,,,,,,,
"activityType/FRAN_RI_011-d-5yjjacfan--1ko7qsf0eh9ji","d-5yjjacfan--1ko7qsf0eh9ji","ActivityType","statut de l’artiste",,,,,,,,,,,,,
"activityType/suivi%20des%20d%C3%A9cisions%20de%20justice",,"ActivityType","suivi des décisions de justice",,,,"activityType/FRAN_RI_011-d3nyuggi35--1d1y6hs08moef","application des peines",,,,,,,,
"activityType/FRAN_RI_011-d3nyuijk4j-16ui4xv3kkhuo","d3nyuijk4j-16ui4xv3kkhuo","ActivityType","tarification","fixation de prix",,,,,,,,,,,,
"activityType/FRAN_RI_011-d-3qa3m6bon--wqhjnig00n2x","d-3qa3m6bon--wqhjnig00n2x","ActivityType","télégraphe",,"Le télégraphe est le service délivré par un opérateur pour transmettre des messages, appelés télégrammes, d’un point à un autre sur de grandes distances, à l’aide de codes pour une transmission rapide et fiable.",,"activityType/FRAN_RI_011-d5bhvii8hp--2h4stksrz3p9","postes et télécommunications",,,,,,,,
"activityType/FRAN_RI_011-d5bhviklf7-e9hkyea32yl1","d5bhviklf7-e9hkyea32yl1","ActivityType","tourisme",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvij64a-q0p86cou8swf","d5bhvij64a-q0p86cou8swf","ActivityType","transports",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimhyx--nnjhi6uln1zi","d5bhvimhyx--nnjhi6uln1zi","ActivityType","travail",,,,"activityType/FRAN_RI_011-d5bhvih1do--ryj2votztf8z","affaires sociales",,,,,,,,
"activityType/FRAN_RI_011-d3nyuilwmi-zu0efiq3ap4v","d3nyuilwmi-zu0efiq3ap4v","ActivityType","tutelle","contrôle d’exploitation","Fonction de contrôle, de conseil voire de protection exercée par une autorité administrative à l’égard de ses ressortissants. La tutelle administrative comprend un ensemble de moyens de contrôle réglementaire.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","d3nyuimm9z--1tz0n2jqoofo0","ActivityType","urbanisme",,,,,,,"activityType/FRAN_RI_011-d3nyugaefk--zg9gvxs7butk | activityType/FRAN_RI_011-d5bhvihej1--l9t3vj6pa9aa",,,,,,"23/02/2025 : ajouté des relations d'association avec les concepts ""aménagement du territoire"", ""ville"", et des relations hiérarchiques avec six autres concepts candidats concernant la gestion des voies urbaines | 22/07/2025 : ajouté une relation hiérarchique avec le nouveau concept de ""classement de voie urbaine"". | 31/07/2025 : ajouté une relation hiérarchique avec le nouveau concept de ""dénomination de voie urbaine""."
"activityType/FRAN_RI_011-d5bhvihej1--l9t3vj6pa9aa","d5bhvihej1--l9t3vj6pa9aa","ActivityType","ville",,,,,,,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0",,,,,,"23/02/2025 : ajouté une relation d'association avec le concept ""urbanisme"""
