"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d3nzun5426--py6v4pnmsjps","d3nzun5426--py6v4pnmsjps","Ponts-et-Chaussées (hôtel des)",,
"place/FRAN_RI_026-d3nzun5g4q-jxzey9kbex1l","d3nzun5g4q-jxzey9kbex1l","Popincourt (église de)",,
"place/FRAN_RI_026-d5bknxghe7--diji78o5ipy6","d5bknxghe7--diji78o5ipy6","Porcelets (enseigne des)",,
"place/FRAN_RI_026-d5bknx0jsg--1p0n398nxnblx","d5bknx0jsg--1p0n398nxnblx","Porc Epic (enseigne du)",,
"place/FRAN_RI_026-d5bknw57ze--m7ic94jt6hur","d5bknw57ze--m7ic94jt6hur","Porcherons (barrière des)",,
"place/FRAN_RI_026-d3nzun5rzj-1jy9zqmi0idpu","d3nzun5rzj-1jy9zqmi0idpu","Porcherons (château des)",,
"place/FRAN_RI_026-d5bknxwra9--ixpn8skyep9c","d5bknxwra9--ixpn8skyep9c","Porte Cygne (enseigne du)",,
"place/FRAN_RI_026-d5bknw90v3-5amxaqpxgh9c","d5bknw90v3-5amxaqpxgh9c","Porte Dorée (enseigne de la)",,
"place/FRAN_RI_026-d5bknwaso3-uheenjcyq8jd","d5bknwaso3-uheenjcyq8jd","Porte Saint-Martin (théâtre de la)",,
"place/FRAN_RI_026-d3nzun6fhe-1dh43aeqcipbf","d3nzun6fhe-1dh43aeqcipbf","Port-Royal (prison de)","Port-Royal (couvent de) | Port-Libre (prison de)",
"place/FRAN_RI_026-d3nzun7mdo-nb23qzms5gcm","d3nzun7mdo-nb23qzms5gcm","Postes (hôtel des)","Armenonville (hôtel d')","Rue Coq-Héron."
"place/FRAN_RI_026-d5bknx96uc-1iit3o94vgexc","d5bknx96uc-1iit3o94vgexc","Pot d'Etain (enseigne du)",,
"place/FRAN_RI_026-d5bknx3hmp--1nd0l8m18wd5f","d5bknx3hmp--1nd0l8m18wd5f","Pot de Fer (enseigne du)",,
"place/FRAN_RI_026-d5bknxqg33-1xzt6dog1xtxv","d5bknxqg33-1xzt6dog1xtxv","Poulet (enseigne du)",,
"place/FRAN_RI_026-d5bknw7bn7--f2e2p4mxwnga","d5bknw7bn7--f2e2p4mxwnga","Pourcelet d'Or (enseigne du)",,
"place/FRAN_RI_026-d3nzun7y8h--t3wr0ifix9gq","d3nzun7y8h--t3wr0ifix9gq","Poyanne (hôtel de)",,
"place/FRAN_RI_026-d3nzun89vj--tbbkf89wenn3","d3nzun89vj--tbbkf89wenn3","Prade (hôtel de)",,
"place/FRAN_RI_026-d3nzun8lik-d9cr3q8fqsdr","d3nzun8lik-d9cr3q8fqsdr","Praslin (hôtel de)",,"Rue de Bourgogne."
"place/FRAN_RI_026-d5bknxcgr5-1uupwjp8ce910","d5bknxcgr5-1uupwjp8ce910","Prêcheur (enseigne du)",,
"place/FRAN_RI_026-d5bknwzp6j-1nc4q59hekqln","d5bknwzp6j-1nc4q59hekqln","Prêcheurs (enseigne des)",,
"place/FRAN_RI_026-d5bknw67zc-1c78rss55thms","d5bknw67zc-1c78rss55thms","Pré en Cose (enseigne de la)",,
"place/FRAN_RI_026-d3nzun990f-6dq6fsptiep3","d3nzun990f-6dq6fsptiep3","Préfecture de police",,
"place/FRAN_RI_026-d3nzun9oqx--828md12mse5j","d3nzun9oqx--828md12mse5j","Prémontrés (collège des)",,
"place/FRAN_RI_026-d3nzuna119-11hjxhtr8j0dd","d3nzuna119-11hjxhtr8j0dd","Présentation (couvent de la)",,
"place/FRAN_RI_026-d3nzunacoa--1xa05w19encm7","d3nzunacoa--1xa05w19encm7","Presles (collège de)",,
"place/FRAN_RI_026-d5bknwlefb-14w1mgunesoxp","d5bknwlefb-14w1mgunesoxp","Pressoir (enseigne du)",,
"place/FRAN_RI_026-d5bknx9urq-bf0v20j1a5yy","d5bknx9urq-bf0v20j1a5yy","Pressoir d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknxbiwt--1ko4rcbmoolzz","d5bknxbiwt--1ko4rcbmoolzz","Prêtres de la Doctrine chrétienne (collège des)",,
"place/FRAN_RI_026-d3nzunaoqv-aqgc0t7kygs9","d3nzunaoqv-aqgc0t7kygs9","Prévôté (hôtel de la)",,
"place/FRAN_RI_026-d3nzunb0tf-1uk4zmrri9k9e","d3nzunb0tf-1uk4zmrri9k9e","Prince Eugène (caserne du)",,
"place/FRAN_RI_026-d3nzunbco8--116hse9p0asjo","d3nzunbco8--116hse9p0asjo","Princesse Mathilde (hôtel de la)",,
"place/FRAN_RI_026-d3nzunboj1-1e5gpnmmwab4b","d3nzunboj1-1e5gpnmmwab4b","Prouvaires (hôtel des)",,
"place/FRAN_RI_026-d5bknwzwid--dvjcycjy8t23","d5bknwzwid--dvjcycjy8t23","Providence (hôpital de la)",,
"place/FRAN_RI_026-d5bknwqxlo--rwdatdrzokth","d5bknwqxlo--rwdatdrzokth","Providence (image de la)",,
"place/FRAN_RI_026-d5bknwgsvi-120d0dwxatfne","d5bknwgsvi-120d0dwxatfne","Pucelle d'Orléans (enseigne de la)",,
"place/FRAN_RI_026-d3nzund67b--1r9bxncympsjf","d3nzund67b--1r9bxncympsjf","Puisieux (hôtel de)",,
"place/FRAN_RI_026-d5bknxgq0m-1gn5mtak1svfe","d5bknxgq0m-1gn5mtak1svfe","Pyramide (enseigne de la)",,
"place/FRAN_RI_026-d3nzundix6-hi8tnxsmtbrz","d3nzundix6-hi8tnxsmtbrz","Pyramides (hôtel des)",,
"place/FRAN_RI_026-d5bknwpjt3-vqlxcb1y31h5","d5bknwpjt3-vqlxcb1y31h5","Quatre Fils Aymon (enseigne des)",,
"place/FRAN_RI_026-d5bknwxcwb-b451ft8uyoyr","d5bknwxcwb-b451ft8uyoyr","Quatre Saisons (enseigne des)",,
"place/FRAN_RI_026-d5bknxjbs9--ffwqxm47zdrw","d5bknxjbs9--ffwqxm47zdrw","Quatre Vents (enseigne des)",,
"place/FRAN_RI_026-d5bknwe0n1--1vifdg984b8tl","d5bknwe0n1--1vifdg984b8tl","Queue de Renard (enseigne de la)",,
"place/FRAN_RI_026-d3nzunekuy-1hidkhbnpzg9p","d3nzunekuy-1hidkhbnpzg9p","Quinze-Vingt (église des)",,
"place/FRAN_RI_026-d3nzunh8cp-6hc7xn1z8fep","d3nzunh8cp-6hc7xn1z8fep","Quinze-Vingt (hôpital des)",,
"place/FRAN_RI_026-d5bknwuabc-iszgtidtkk1k","d5bknwuabc-iszgtidtkk1k","Rabat (enseigne du)",,
"place/FRAN_RI_026-d5bknwniy5-nn5plztofctj","d5bknwniy5-nn5plztofctj","Rabateulx (enseigne des)",,
"place/FRAN_RI_026-d3nzuni8s6-14gpbxbt82509","d3nzuni8s6-14gpbxbt82509","Radepont (hôtel de)",,
"place/FRAN_RI_026-d3nzunili0--1ov5etl2oe60l","d3nzunili0--1ov5etl2oe60l","Radziwill (hôtel de)",,
"place/FRAN_RI_026-d3nzunj8kc-1v0prxknpzys1","d3nzunj8kc-1v0prxknpzys1","Randon-Latour (prison)",,
"place/FRAN_RI_026-d3nzunkbsp-7o3hij3owbds","d3nzunkbsp-7o3hij3owbds","Récollettes (couvent des)","Immaculée Conception (couvent de l')","Rue du Bac."
"place/FRAN_RI_026-d3nzunknfq-1h3tlk775qi6g","d3nzunknfq-1h3tlk775qi6g","Reims (collège de)",,
"place/FRAN_RI_026-d3nzunkzaj--lp8wmvlrco9v","d3nzunkzaj--lp8wmvlrco9v","Reims (hôtel de)",,
"place/FRAN_RI_026-d3nzunlaxl-1r5o7comr79j8","d3nzunlaxl-1r5o7comr79j8","Reine (écuries de la)",,
"place/FRAN_RI_026-d5bknxk4gd-5typnglqlrbb","d5bknxk4gd-5typnglqlrbb","Religieuses de la Croix (couvent des)",,
"place/FRAN_RI_026-d3nzunlmkn--vjzpmpfwr0gl","d3nzunlmkn--vjzpmpfwr0gl","Religieuses de la Miséricorde (couvent des)",,
"place/FRAN_RI_026-d5bknxgmzy-9hq553s83wz2","d5bknxgmzy-9hq553s83wz2","Renard (enseigne du)",,
"place/FRAN_RI_026-d5bknwn916--ynu70r1sd9ze","d5bknwn916--ynu70r1sd9ze","Renard-qui-Pêche (enseigne du)",,
"place/FRAN_RI_026-d5bknwx49w--dbf0dagevr5y","d5bknwx49w--dbf0dagevr5y","Réservoirs (barrière des)",,
"place/FRAN_RI_026-d3nzunm9mz-1p7fkrem4v4fk","d3nzunm9mz-1p7fkrem4v4fk","Retz (hôtel de)",,
"place/FRAN_RI_026-d3nzunn415--rt00193zka5e","d3nzunn415--rt00193zka5e","Reuilly (château de)",,
"place/FRAN_RI_026-d3nzunnslt-1nonjjw80l1e1","d3nzunnslt-1nonjjw80l1e1","Reynière (hôtel de la)",,
"place/FRAN_RI_026-d3m0cugumjx--1l4z9mzpvrnev","d3m0cugumjx--1l4z9mzpvrnev","Richebraque (maison de santé)",,
"place/FRAN_RI_026-d5bknxffgf-17bx2odeplaia","d5bknxffgf-17bx2odeplaia","Riche Laboureur (enseigne du)",,
"place/FRAN_RI_026-d3nzunonv1--1g2auki58r7w3","d3nzunonv1--1g2auki58r7w3","Richelieu (hôtel de)","Bassompierre (hôtel de)","Place des Vosges."
"place/FRAN_RI_026-d5bknw4rte-12xuqcrrty88p","d5bknw4rte-12xuqcrrty88p","Rivière (enseigne de la)",,
"place/FRAN_RI_026-d3nzunppdb-181uvuktnrh6c","d3nzunppdb-181uvuktnrh6c","Robiot (hôtel)",,
"place/FRAN_RI_026-d3nzunq184--5uprkw7t71is","d3nzunq184--5uprkw7t71is","Rochechouart (hôtel de)","Courteilles (hôtel de) | Saint-Aignan (hôtel de) | Avaux (hôtel d') | Asnières (hôtel d')","Cette dénomination correspond à 2 hôtels situés : rue du Temple (également dénommé Saint-Aignan (hôtel de), Avaux (hôtel d'), Asnières (hôtel d')) et rue de Grenelle (également dénommé Courteilles (hôtel de))."
"place/FRAN_RI_026-d5bknwnu5o--1a402fzitl0aj","d5bknwnu5o--1a402fzitl0aj","Rochelle (enseigne de la)",,
"place/FRAN_RI_026-d3nzunqdif-jtlrgtlzo54j","d3nzunqdif-jtlrgtlzo54j","Rohan (hôtel de)",,
"place/FRAN_RI_026-d5bknx8gbu-ueij4d9v82hf","d5bknx8gbu-ueij4d9v82hf","Rohan-Chabot (hôtel de)","Tessé-Vendome (hôtel de)","Rue de Varenne."
"place/FRAN_RI_026-d5bknwjzc5--1q091veovw3zc","d5bknwjzc5--1q091veovw3zc","Roi (écuries du)",,"Rue Saint-Honoré. Place du Carrousel."
"place/FRAN_RI_026-d3m0cugrzh6-r3zowig8uyxo","d3m0cugrzh6-r3zowig8uyxo","Roi (pépinière du)",,
"place/FRAN_RI_026-d3nzunr4o7--3ghw1db46a95","d3nzunr4o7--3ghw1db46a95","Roi (petites écuries du)",,"Rue du Faubourg-Saint-Denis."
"place/FRAN_RI_026-d5bknwck9c--1kbmnlvvb31r6","d5bknwck9c--1kbmnlvvb31r6","Roi Childebert (enseigne du)",,
"place/FRAN_RI_026-d5bknw02lo--1s22zxqmegbu","d5bknw02lo--1s22zxqmegbu","Roi David (enseigne du)",,
"place/FRAN_RI_026-d5bknwf1xk-229fdanwx7mw","d5bknwf1xk-229fdanwx7mw","Roi de France (enseigne du)",,
"place/FRAN_RI_026-d3m0cuggh3p--kur5877esixl","d3m0cuggh3p--kur5877esixl","Roi de Rome (palais du)",,"Projet non abouti."
"place/FRAN_RI_026-d5bknxmuj8--zqqen4h5f109","d5bknxmuj8--zqqen4h5f109","Roi des Laboureurs (enseigne du)",,
"place/FRAN_RI_026-d5bknxngya-1lrmqcns67rum","d5bknxngya-1lrmqcns67rum","Roi François (enseigne du)",,
"place/FRAN_RI_026-d5bknxrjj6--1od5cff3koisq","d5bknxrjj6--1od5cff3koisq","Roi François Ier (image du)",,
"place/FRAN_RI_026-d5bknxcmsf--1jmq5inplm1nc","d5bknxcmsf--1jmq5inplm1nc","Roi Henri IV (enseigne du)",,
"place/FRAN_RI_026-d3nzunsq86-c9odf44uyek1","d3nzunsq86-c9odf44uyek1","Rollin (collège)",,
"place/FRAN_RI_026-d5bknx8c8e-141m0wtqxwec9","d5bknx8c8e-141m0wtqxwec9","Rose (enseigne de la)",,
"place/FRAN_RI_026-d5bknw49pj--15rhbi5dwzfdm","d5bknw49pj--15rhbi5dwzfdm","Rose Blanche (enseigne de la)",,
"place/FRAN_RI_026-d5bknxhaa2-dt8o3gjtuink","d5bknxhaa2-dt8o3gjtuink","Rose Rouge (enseigne de la)",,
"place/FRAN_RI_026-d3nzunt2q9--1ba0f4r9087bq","d3nzunt2q9--1ba0f4r9087bq","Rossbach (colonne de)",,
"place/FRAN_RI_026-d3nzuntedb-eqzjxtkhzjas","d3nzuntedb-eqzjxtkhzjas","Rothelin-Charolais (hôtel de)",,
"place/FRAN_RI_026-d3nzuntpsl-1vcsf1lw04peb","d3nzuntpsl-1vcsf1lw04peb","Rottembourg (hôtel de)",,
"place/FRAN_RI_026-d3nzunu17w-m0a5a9mh8rkq","d3nzunu17w-m0a5a9mh8rkq","Rouen (hôtel de)",,
"place/FRAN_RI_026-d5bknxvlok-u3u4y2hh6oy7","d5bknxvlok-u3u4y2hh6oy7","Rouet (enseigne du)",,
"place/FRAN_RI_026-d3nzunucux-1il6qi393his8","d3nzunucux-1il6qi393his8","Roulage (hôtel du)",,
"place/FRAN_RI_026-d3m0cuh3bwq--1uab5acsjfjb8","d3m0cuh3bwq--1uab5acsjfjb8","Roule (abattoirs du)",,
"place/FRAN_RI_026-d3nzunvx4c--1krgtdmeunfd9","d3nzunvx4c--1krgtdmeunfd9","Roule (barrière du)",,"Cette dénomination correspond à 2 barrières situées : avenue des Champs-Elysées, quartier du Roule."
"place/FRAN_RI_026-d3nzunwslb--jtge53khcf2e","d3nzunwslb--jtge53khcf2e","Roule (chapelle du)",,
"place/FRAN_RI_026-d5bknxqvtk--14zt3vnxm0djt","d5bknxqvtk--14zt3vnxm0djt","Royaume de Danemark (image)",,
"place/FRAN_RI_026-d3nzunxjbk--19p6vlsyitx0c","d3nzunxjbk--19p6vlsyitx0c","Royaumont (hôtel de)",,
"place/FRAN_RI_026-d3nzunxw1f-yyrpnlcip1z2","d3nzunxw1f-yyrpnlcip1z2","Russie (hôtel de)",,"Rue de Richelieu."
"place/FRAN_RI_026-d5bknxhjri-17in71ab4xgp1","d5bknxhjri-17in71ab4xgp1","Sabot (enseigne du)",,
"place/FRAN_RI_026-d3nzuny8bq-1v64665uhf4qi","d3nzuny8bq-1v64665uhf4qi","Sabran (hôtel de)",,
"place/FRAN_RI_026-d5bknxhmcm--12zql4iya3w0w","d5bknxhmcm--12zql4iya3w0w","Sage Femme (enseigne de la)",,
"place/FRAN_RI_026-d5bknxkoab--1dz00r41md800","d5bknxkoab--1dz00r41md800","Sagittaire (enseigne du)",,
"place/FRAN_RI_026-d3nzunzaha-q4r8hvdeoia","d3nzunzaha-q4r8hvdeoia","Saint-Agnan (hôtel de)",,
"place/FRAN_RI_026-d5bknwtud3-1tnhrkzr4udla","d5bknwtud3-1tnhrkzr4udla","Saint-Ambroise (image)",,
"place/FRAN_RI_026-d5bknxf8zm-ca673ox64rdg","d5bknxf8zm-ca673ox64rdg","Saint-André (image)",,
"place/FRAN_RI_026-d3nzuo01fb-16gjke7unfe20","d3nzuo01fb-16gjke7unfe20","Saint-André-des-Arts (église)",,
"place/FRAN_RI_026-d3nzuo0ecx--1bsvwxioqkunv","d3nzuo0ecx--1bsvwxioqkunv","Saint-Antoine (église)",,
"place/FRAN_RI_026-d3nzuo0ps7--ed8w9eanip6j","d3nzuo0ps7--ed8w9eanip6j","Saint-Antoine (hôpital)","Saint-Antoine (abbaye de) | Saint-Antoine-des-Champs (abbaye de) | Est (hospice de l')",
"place/FRAN_RI_026-d5bknw1hh2--gz2jvm95ropd","d5bknw1hh2--gz2jvm95ropd","Saint-Antoine (image)",,
"place/FRAN_RI_026-d3nzuo283r--1h6durwzkowm3","d3nzuo283r--1h6durwzkowm3","Saint-Barthélemy (église)",,
"place/FRAN_RI_026-d3m0cugv3l6--10p5eg91mxvfv","d3m0cugv3l6--10p5eg91mxvfv","Saint-Benoît (cloître)",,
"place/FRAN_RI_026-d3nzuo2jqt-18lm4tp8kdkuu","d3nzuo2jqt-18lm4tp8kdkuu","Saint-Benoît (église)",,
"place/FRAN_RI_026-d5bknwtn19-110ixaht8ly7s","d5bknwtn19-110ixaht8ly7s","Saint-Benoît (enseigne)",,
"place/FRAN_RI_026-d3nzuo2v63-9ch43ieoyrtw","d3nzuo2v63-9ch43ieoyrtw","Saint-Bon (chapelle)",,
"place/FRAN_RI_026-d3nzuo370w--4oduet586mdl","d3nzuo370w--4oduet586mdl","Saint-Charles (séminaire)",,
"place/FRAN_RI_026-d3nzuo3ig7--1es0dkjpzvt50","d3nzuo3ig7--1es0dkjpzvt50","Saint-Chaumond (hôtel de)",,
"place/FRAN_RI_026-d5bknw2h99-a7rxr7ep9q1c","d5bknw2h99-a7rxr7ep9q1c","Saint-Christophe (image)",,
"place/FRAN_RI_026-d5bknx19vg--1i3rlaxlly4s9","d5bknx19vg--1i3rlaxlly4s9","Saint-Claude (image)",,
"place/FRAN_RI_026-d3nzuo4d24--9l0km8z1ra46","d3nzuo4d24--9l0km8z1ra46","Saint-Côme (collège)",,
"place/FRAN_RI_026-d5bknwhcpg--5tf65mm07l5y","d5bknwhcpg--5tf65mm07l5y","Saint-Côme (image)",,
"place/FRAN_RI_026-d5bknwae86--say7j37cdt0p","d5bknwae86--say7j37cdt0p","Saint-Côme-et-Saint-Damien (église)",,
"place/FRAN_RI_026-d3nzuo547w--53ddp8tgf3iq","d3nzuo547w--53ddp8tgf3iq","Saint-Cyr (hôtel)",,"Rue des Grands-Augustins."
"place/FRAN_RI_026-d3nzuo5gxr-kyyjsyg5brzq","d3nzuo5gxr-kyyjsyg5brzq","Saint-Denis (barrière)",,
"place/FRAN_RI_026-d3nzuo63sc--80t2bd7e2vua","d3nzuo63sc--80t2bd7e2vua","Saint-Denis (hôtel de)",,
"place/FRAN_RI_026-d5bknw8tr0--1rhqmtn0zoz7d","d5bknw8tr0--1rhqmtn0zoz7d","Saint-Denis (image)",,
"place/FRAN_RI_026-d3nzuo6f7m-olwlxfmupz0s","d3nzuo6f7m-olwlxfmupz0s","Saint-Denis-de-la-Chapelle (église)",,
"place/FRAN_RI_026-d3m0cugtcll-1dgtu7wmrfbny","d3m0cugtcll-1dgtu7wmrfbny","Saint-Denis-de-la-Chartre (enclos)",,
"place/FRAN_RI_026-d3nzuo6uqc-8dz3n3ayilf5","d3nzuo6uqc-8dz3n3ayilf5","Saint-Denis-de-la-Chartre (prieuré de)",,
"place/FRAN_RI_026-d3nzuo7prt-gjm2u2guckqj","d3nzuo7prt-gjm2u2guckqj","Saint-Dominique (barrière)",,
"place/FRAN_RI_026-d3nzup9n4j--p4thptgo9q3f","d3nzup9n4j--p4thptgo9q3f","Sainte-Anne (barrière)",,
"place/FRAN_RI_026-d3nzup9yzd-1qp7uln3dg67q","d3nzup9yzd-1qp7uln3dg67q","Sainte-Anne (hôpital)","Santé (hôpital de la)",
"place/FRAN_RI_026-d5bknxwvt8--rou0h5ldoiz","d5bknxwvt8--rou0h5ldoiz","Sainte-Anne (image)",,
"place/FRAN_RI_026-d3nzupaau6--26bnoey3s2j","d3nzupaau6--26bnoey3s2j","Sainte-Barbe (collège)",,
"place/FRAN_RI_026-d5bknwraja-1iwfd2sf8fwu4","d5bknwraja-1iwfd2sf8fwu4","Sainte-Barbe (image)",,
"place/FRAN_RI_026-d3m0cugyx1w--1ar4m22m710tu","d3m0cugyx1w--1ar4m22m710tu","Sainte-Catherine (cloître)",,
"place/FRAN_RI_026-d3nzupappm-1h53rszsh1xqk","d3nzupappm-1h53rszsh1xqk","Sainte-Catherine (hôpital)",,
"place/FRAN_RI_026-d5bknx7wpo--1dfcykim2yqzx","d5bknx7wpo--1dfcykim2yqzx","Sainte-Catherine (image)",,
"place/FRAN_RI_026-d3m0cugos73-15lk12rfjid74","d3m0cugos73-15lk12rfjid74","Sainte-Catherine (marché)",,
"place/FRAN_RI_026-d3m0cug3i1g--1w82vl8qnekxr","d3m0cug3i1g--1w82vl8qnekxr","Sainte-Catherine-du-Val-des-Ecoliers (couvent)","Couture-Sainte-Catherine (prieuré de la) | Culture-Sainte-Catherine (prieuré de la)",
"place/FRAN_RI_026-d3nzupbhqf-1pkg7um521s1c","d3nzupbhqf-1pkg7um521s1c","Sainte-Chapelle",,
"place/FRAN_RI_026-d3nzupcbhc--1g03nacw4uljz","d3nzupcbhc--1g03nacw4uljz","Sainte-Croix (église)","Sainte-Croix-en-la-Cité (église)",
"place/FRAN_RI_026-d3nzuo8gpt--1wyqj6g1j9n9i","d3nzuo8gpt--1wyqj6g1j9n9i","Saint-Edmond (monastère de)",,
"place/FRAN_RI_026-d3m0cugxvtb-120qhm4uzi06p","d3m0cugxvtb-120qhm4uzi06p","Sainte-Elisabeth (église)",,
"place/FRAN_RI_026-d3m0cugny38--ygw25xfd9jj","d3m0cugny38--ygw25xfd9jj","Sainte-Geneviève (abbaye)",,
"place/FRAN_RI_026-d3nzupco76-sp7r8qccreor","d3nzupco76-sp7r8qccreor","Sainte-Geneviève (bibliothèque)",,
"place/FRAN_RI_026-d3m0cufzmlf-1umgtn2erodrz","d3m0cufzmlf-1umgtn2erodrz","Sainte-Geneviève (cloître)",,
"place/FRAN_RI_026-d5bknxdlht-13ssg8t9a4wth","d5bknxdlht-13ssg8t9a4wth","Sainte-Geneviève (image)",,
"place/FRAN_RI_026-d5bknw0hh4--11k6hi7dys4ta","d5bknw0hh4--11k6hi7dys4ta","Saint-Eloi (église)",,
"place/FRAN_RI_026-d3m0cugsihq--12m9kk7xnaobh","d3m0cugsihq--12m9kk7xnaobh","Saint-Eloi (prison)",,
"place/FRAN_RI_026-d3nzupczmh--1mfggpnf7e89x","d3nzupczmh--1mfggpnf7e89x","Sainte-Madeleine (église)","Sainte-Marie-Madeleine (église) | La Madeleine-en-la-Cité (église)",
"place/FRAN_RI_026-d3nzupdb9i--pujvhtsl5h2g","d3nzupdb9i--pujvhtsl5h2g","Sainte-Marguerite (église)",,
"place/FRAN_RI_026-d3nzupdmh1--j349y8bdc6lz","d3nzupdmh1--j349y8bdc6lz","Sainte-Marine (église)",,
"place/FRAN_RI_026-d3m0cuguv9o-29ru903v34lv","d3m0cuguv9o-29ru903v34lv","Sainte-Opportune (cloître)",,
"place/FRAN_RI_026-d3nzupegng-1aybvg6bmoqx4","d3nzupegng-1aybvg6bmoqx4","Sainte-Opportune (église)",,
"place/FRAN_RI_026-d3nzupesxs-8cyrg4br2dcb","d3nzupesxs-8cyrg4br2dcb","Sainte-Opportune (hôpital)",,
"place/FRAN_RI_026-d3m0cuhbrd0--xxcydzoso41u","d3m0cuhbrd0--xxcydzoso41u","Sainte-Pélagie (prison)","Sainte-Pélagie (couvent)",
"place/FRAN_RI_026-d3nzupffkm-1t5zxqhw0cj4i","d3nzupffkm-1t5zxqhw0cj4i","Sainte-Perrine (couvent)",,
"place/FRAN_RI_026-d3nzupg9r1--1j35pm3t3vdr2","d3nzupg9r1--1j35pm3t3vdr2","Sainte-Perrine (hôpital)",,
"place/FRAN_RI_026-d5bknwb3nv--1e3sm2pg93fwy","d5bknwb3nv--1e3sm2pg93fwy","Saint-Esprit (enseigne du)",,
"place/FRAN_RI_026-d3m0cugtw0e-4nblkj2zxynl","d3m0cugtw0e-4nblkj2zxynl","Saint-Esprit-en-Grève (hôpital du)",,
"place/FRAN_RI_026-d5bknwaglj-tc21c7oehd0y","d5bknwaglj-tc21c7oehd0y","Saint-Etienne (image)",,
"place/FRAN_RI_026-d3m0cug5eyy-1mrqdwbaa61dm","d3m0cug5eyy-1mrqdwbaa61dm","Saint-Etienne-des-Grès (cloître)",,
"place/FRAN_RI_026-d5bknx85c3-cemgcu3fd385","d5bknx85c3-cemgcu3fd385","Saint-Etienne-des-Grès (église)",,
"place/FRAN_RI_026-d5bknxe4og--u4hey0gthqft","d5bknxe4og--u4hey0gthqft","Saint-Etienne-du-Mont (église)",,
"place/FRAN_RI_026-d5bknwpqx6-1xt0aw83oaaxa","d5bknwpqx6-1xt0aw83oaaxa","Sainte-Trinité (enseigne de la)",,
"place/FRAN_RI_026-d3nzuoa7ns--1akrhk5guriol","d3nzuoa7ns--1akrhk5guriol","Saint-Eustache (cimetière)",,
"place/FRAN_RI_026-d3nzuob2p9--5drolupwmzns","d3nzuob2p9--5drolupwmzns","Saint-Eustache (église)",,
"place/FRAN_RI_026-d5bknxburm--l50hb2atzx4o","d5bknxburm--l50hb2atzx4o","Saint-Eustache (image)",,
"place/FRAN_RI_026-d5bknx5bla-1g0d0upa3lkb2","d5bknx5bla-1g0d0upa3lkb2","Saint-Fiacre (image)",,
"place/FRAN_RI_026-d5bknwejly-1tcu41fuw8s9m","d5bknwejly-1tcu41fuw8s9m","Saint-François (image)",,
"place/FRAN_RI_026-d5bknx2wpy-8fkys81bdl2z","d5bknx2wpy-8fkys81bdl2z","Saint-Georges (image)",,
"place/FRAN_RI_026-d3nzuobtn9--19jsi5vxnqbdg","d3nzuobtn9--19jsi5vxnqbdg","Saint-Géran (hôtel de)",,
"place/FRAN_RI_026-d3m0cugzm0d--1td43etx8rcyh","d3m0cugzm0d--1td43etx8rcyh","Saint-Germain (cloître)",,
"place/FRAN_RI_026-d3nzuoc6d4-1210yn573xg27","d3nzuoc6d4-1210yn573xg27","Saint-Germain (école)",,
"place/FRAN_RI_026-d3m0cugdfrj--1f11gmoi26205","d3m0cugdfrj--1f11gmoi26205","Saint-Germain (foire)",,
"place/FRAN_RI_026-d3nzuocing--laz81n04rsrc","d3nzuocing--laz81n04rsrc","Saint-Germain-de-Charonne (église)",,
"place/FRAN_RI_026-d3m0cugmyfp-1uree3cex6uuc","d3m0cugmyfp-1uree3cex6uuc","Saint-Germain-des-Prés (abbaye)",,
"place/FRAN_RI_026-d3m0cuhbkmk--1sxr0oz8w1lxd","d3m0cuhbkmk--1sxr0oz8w1lxd","Saint-Germain-des-Prés (église)",,
"place/FRAN_RI_026-d3m0cufwybw--zq6xix6vux8c","d3m0cufwybw--zq6xix6vux8c","Saint-Germain-des-Prés (marché)",,
"place/FRAN_RI_026-d3m0cuh6lyn--1f493elr7exau","d3m0cuh6lyn--1f493elr7exau","Saint-Germain-l'Auxerrois (cimetière)",,
"place/FRAN_RI_026-d3m0cugzg2g-1sa67wzq1bav8","d3m0cugzg2g-1sa67wzq1bav8","Saint-Germain-l'Auxerrois (cloître)",,
"place/FRAN_RI_026-d3nzuoi16j--12w7mz19buaxr","d3nzuoi16j--12w7mz19buaxr","Saint-Germain-l'Auxerrois (église)",,
"place/FRAN_RI_026-d5bknx7i9r--fji4ncyaewmy","d5bknx7i9r--fji4ncyaewmy","Saint-Germain-le-Vieux (église)",,
"place/FRAN_RI_026-d3m0cugwuz0--1qasngojcudu","d3m0cugwuz0--1qasngojcudu","Saint-Gervais (cloître)",,
"place/FRAN_RI_026-d3nzuoiclt-1j5juwcb2d12e","d3nzuoiclt-1j5juwcb2d12e","Saint-Gervais-Saint-Protais (église)","Jeunesse (temple de la)",
"place/FRAN_RI_026-d5bknwlwbe-fg3bts56ritw","d5bknwlwbe-fg3bts56ritw","Saint-Hilaire-du-Mont (église)",,
"place/FRAN_RI_026-d3m0cuha359-vjc0v4pop92m","d3m0cuha359-vjc0v4pop92m","Saint-Honoré (cloître)",,
