"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d5bknwzfp2-8e0a91cj20q4","d5bknwzfp2-8e0a91cj20q4","Hure de Sanglier (enseigne de la)",,
"place/FRAN_RI_026-d5bknxt78q-bdc0j0zt6l8c","d5bknxt78q-bdc0j0zt6l8c","Huxelles (hôtel d')",,
"place/FRAN_RI_026-d-1gd2cejdi--kz3kb9xzqpn3","d-1gd2cejdi--kz3kb9xzqpn3","Iéna, palais d' (Paris)",,"Type : palais | Le palais d'Iéna est un bâtiment du 16e arrondissement de Paris construit par l'architecte Auguste Perret en 1937. C’est le siège du Conseil économique, social et environnemental et de la Chambre de commerce internationale. (Source : https://fr.wikipedia.org/wiki/Palais_d%27I%C3%A9na ) | Wikidata : https://www.wikidata.org/wiki/Q3360957 | Lieu ajouté le [08/09/2020]"
"place/FRAN_RI_026-d3nzujjy0e-98gjfr9nz6p7","d3nzujjy0e-98gjfr9nz6p7","Image-Saint-Jacques (maison de l')",,
"place/FRAN_RI_026-d5bknx5zax--ere334ibt62d","d5bknx5zax--ere334ibt62d","Image-Saint-Michel (enseigne de l')",,
"place/FRAN_RI_026-d5bknxbxs9--t1qkoenn7dmg","d5bknxbxs9--t1qkoenn7dmg","Image-Saint-Nicolas (maison de l')",,
"place/FRAN_RI_026-d5bknw19pp-1w3y52hojr7vm","d5bknw19pp-1w3y52hojr7vm","Impératrice (enseigne de l')",,
"place/FRAN_RI_026-d3nzujk97x-ekb5q0kjw0m8","d3nzujk97x-ekb5q0kjw0m8","Indes (hôtel des)",,
"place/FRAN_RI_026-d5bknwd25f--1uusqsk32g7qo","d5bknwd25f--1uusqsk32g7qo","Industrie (hôtel de l')","Invalides civils (hôtel des)",
"place/FRAN_RI_026-d5bknwcdd0-1ng0en1t6f2k5","d5bknwcdd0-1ng0en1t6f2k5","Innocents (enseigne des)",,
"place/FRAN_RI_026-d3m0cugkv60-6b0blcua9ves","d3m0cugkv60-6b0blcua9ves","Innocents (marché des)",,
