"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08yqhuy6--d7u3hzsohg1x","d3m08yqhuy6--d7u3hzsohg1x","Veracruz (Mexique)",,,,,"Mexique [d3ntxl5629--bz5leouyg7ju]",,
"place/FRAN_RI_005-d3m08z8ml28--11xq2uq0t933w","d3m08z8ml28--11xq2uq0t933w","Verceil (Italie)","Vercelli (Italie)",,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zfwhgo--101ybnvct6nx0","d3m08zfwhgo--101ybnvct6nx0","Vérone (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zozk9p--1bkk1qtn28svd","d3m08zozk9p--1bkk1qtn28svd","Vevey (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zj3baw-1nzo0api7cmau","d3m08zj3baw-1nzo0api7cmau","Vicence (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08znebvw--zvzj1khwiail","d3m08znebvw--zvzj1khwiail","Vilnius (Lituanie)",,,,,"Lituanie [d3ntxl0sx4-uuvy77ni56ar]",,
"place/FRAN_RI_005-d3m08zgsep5--rg0veaf6rtp6","d3m08zgsep5--rg0veaf6rtp6","Vintimille (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-6w5jpwuiw-17wdvfolqmb4y","d-6w5jpwuiw-17wdvfolqmb4y","Virton (Belgique)",,,,"Virton est une ville francophone de Belgique située en Région wallonne. (Source : https://fr.wikipedia.org/wiki/Virton)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q456495 | https://sws.geonames.org/2784555/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08z9ejok-d9hxoairqgun","d3m08z9ejok-d9hxoairqgun","Vitoria (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zihyro-1gxecevzt97ip","d3m08zihyro-1gxecevzt97ip","Vonitsa (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08zz31xu--178aft18di0y5","d3m08zz31xu--178aft18di0y5","Warwick (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d5bdpahzlu-19ui4glhd1ajk","d5bdpahzlu-19ui4glhd1ajk","Washington (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
