"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzcqfdtr-v87ozi3augmr","d3nzcqfdtr-v87ozi3augmr","Provot (rue)","Actuellement rue Auguste-Barbier."
"place/FRAN_RI_025-d3nzcqgvpt--bcikj43wm3ga","d3nzcqgvpt--bcikj43wm3ga","Prudhon (avenue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqh804--1xsvs92ycnv6l","d3nzcqh804--1xsvs92ycnv6l","Prunier (rue)","Voir rue Pernelle."
"place/FRAN_RI_025-d3nzcqhj7n-12bivigtig5ej","d3nzcqhj7n-12bivigtig5ej","Pruniers (impasse des)","Actuellement rue des Pruniers."
"place/FRAN_RI_025-d3nzcqhumy-1j0gukxon4yml","d3nzcqhumy-1j0gukxon4yml","Pruniers (passage des)","Actuellement rue des Pruniers."
"place/FRAN_RI_025-d3nzcqi5mp--11ytnzc9rcg06","d3nzcqi5mp--11ytnzc9rcg06","Pruniers (rue des)","Voie actuelle. Autre(s) nom(s) : passage des Pruniers, impasse des Pruniers."
"place/FRAN_RI_025-d3nzcqigu8-bq4bkr8zjvnz","d3nzcqigu8-bq4bkr8zjvnz","Puebla (passage de)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqis9j--kav1op690ik9","d3nzcqis9j--kav1op690ik9","Puebla (place de)","Actuellement place Gambetta."
"place/FRAN_RI_025-d3nzcqj39a--9cgxexrk69a2","d3nzcqj39a--9cgxexrk69a2","Puebla (rue de)","Actuellement rue des Pyrénées, avenue Simon-Bolivar et partie de l'avenue Secrétan."
"place/FRAN_RI_025-d3nzcqjegt-17k6fulvn3esl","d3nzcqjegt-17k6fulvn3esl","Puget (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqjpoc--1i0j9njr6nny5","d3nzcqjpoc--1i0j9njr6nny5","Puisard-de-Bicêtre (rue du)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqk13n-y8vae3640yhh","d3nzcqk13n-y8vae3640yhh","Puits (allée du)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqkc3e--vr5gf4xba6cg","d3nzcqkc3e--vr5gf4xba6cg","Puits (cour du)","Actuellement cité Fénelon."
"place/FRAN_RI_025-d3nzcqknip-bwswyvl63r4e","d3nzcqknip-bwswyvl63r4e","Puits (impasse du)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqkyig-1n2wffnsweta3","d3nzcqkyig-1n2wffnsweta3","Puits (passage du)","Cette dénomination correspond à 2 voies : actuel passage du Désir. Voie supprimée."
"place/FRAN_RI_025-d3nzcqmvx8--2ofaxwrjy0id","d3nzcqmvx8--2ofaxwrjy0id","Puits (rue du)","Cette dénomination correspond à 3 voies : voie ancienne : voir impasse Saint-Sauveur. Actuelle rue d'Arras. Voie ancienne : voir rue de la Grande-Bretonnerie."
