"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzbvakyu--1t5phjo31382g","d3nzbvakyu--1t5phjo31382g","Maison-de-la-Cloche (ruelle de la)","Voie supprimée."
"place/FRAN_RI_025-d3nzbvawto-fjlwzf5gis69","d3nzbvawto-fjlwzf5gis69","Maison-de-la-Révolution (place de la)","Actuellement place du Palais-Bourbon."
"place/FRAN_RI_025-d3nzbvb8gp-1wkbq25j29nz5","d3nzbvb8gp-1wkbq25j29nz5","Maison-de-Santé (chemin de la)","Actuellement rue Ferrus."
"place/FRAN_RI_025-d3nzbvbkbi--ucihm18jy132","d3nzbvbkbi--ucihm18jy132","Maison-des-Singes (ruelle de la)","Voie supprimée."
"place/FRAN_RI_025-d3nzbvbw6b-f50pgk3ic7e2","d3nzbvbw6b-f50pgk3ic7e2","Maison-Dieu (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvc7td-1ciun3r8zyb6y","d3nzbvc7td-1ciun3r8zyb6y","Maison-Egalité (place de la)","Actuellement place du Palais-Royal."
"place/FRAN_RI_025-d3nzbveea2--1khk9yt1t412d","d3nzbveea2--1khk9yt1t412d","Maison-Neuve (cité)","Voie supprimée."
"place/FRAN_RI_025-d3nzbverff--lepr68oj854w","d3nzbverff--lepr68oj854w","Maison-Neuve (rue de la)","Actuellement partie de la rue d'Astorg."
"place/FRAN_RI_025-d3nzbvf32h-1qp33ex8qijqd","d3nzbvf32h-1qp33ex8qijqd","Maison-Tachou (passage de la)","Voie supprimée."
"place/FRAN_RI_025-d3nzbvff51--1555uo0o01yep","d3nzbvff51--1555uo0o01yep","Maistre (rue de)","Actuellement rue Joseph-de-Maistre et rue Etex."
"place/FRAN_RI_025-d3nzbvfqs3-cl3mksbx6ou0","d3nzbvfqs3-cl3mksbx6ou0","Maître-Albert (rue)","Voie actuelle. Autre(s) nom(s) : rue Perdue, rue Saint-Michel."
"place/FRAN_RI_025-d3nzbvg32f-1cw8piwlbenhe","d3nzbvg32f-1cw8piwlbenhe","Maitre-Hugues (ruelle à)","Voie supprimée."
"place/FRAN_RI_025-d3nzbvgehp-2qt3c4tw1b3a","d3nzbvgehp-2qt3c4tw1b3a","Maître-Jeharre (rue)","Voir rue Jean-Hubert."
"place/FRAN_RI_025-d3nzbvgqka--19tvh7pshwmxj","d3nzbvgqka--19tvh7pshwmxj","Maladerie (chemin de la)","Cette dénomination correspond à 2 voies : actuelle rue de Sèvres. Actuelle partie de la rue de Babylone."
"place/FRAN_RI_025-d3nzbvh2f3-5dzsp07k3r7u","d3nzbvh2f3-5dzsp07k3r7u","Maladerie (rue de la)","Actuellement rue du Vieux-Colombier."
"place/FRAN_RI_025-d3nzbvhe9w-15qhowvdfit3o","d3nzbvhe9w-15qhowvdfit3o","Maladerye (rue de la)","Actuellement rue du Four."
"place/FRAN_RI_025-d3nzbvhpp6--1jfuzwiooq4e","d3nzbvhpp6--1jfuzwiooq4e","Maladrerie (carrefour de la)","Actuellement carrefour de la Croix-Rouge."
"place/FRAN_RI_025-d3nzbvi279--1vn24j561kaxm","d3nzbvi279--1vn24j561kaxm","Maladrerie (chemin de la)","Voir chemin de la Maladerie."
"place/FRAN_RI_025-d3nzbviehl-1xjfdmkk4u90h","d3nzbviehl-1xjfdmkk4u90h","Maladrerie (petite rue de la)","Actuellement rue de la Chaise."
"place/FRAN_RI_025-d3nzbvir7g-5y7bfcxm2vbh","d3nzbvir7g-5y7bfcxm2vbh","Maladrerie (rue de la)","Actuellement rue des Saints-Pères."
"place/FRAN_RI_025-d3nzbvkgfc--1pvfyr0xkeqkx","d3nzbvkgfc--1pvfyr0xkeqkx","Maladrerie (ruelle de la)","Voir ruelle des Vinaigriers."
"place/FRAN_RI_025-d3nzbvkt56--mznboq3l9ipr","d3nzbvkt56--mznboq3l9ipr","Malakoff (avenue de)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvlgn1--dqq2bm6v63ye","d3nzbvlgn1--dqq2bm6v63ye","Malakoff (impasse)","Voir impasse Eloi-Thiébault."
"place/FRAN_RI_025-d3nzbvl4zz-s87y7zwgqvfm","d3nzbvl4zz-s87y7zwgqvfm","Malakoff (impasse de)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvlsxd-1ux8ixs46cv10","d3nzbvlsxd-1ux8ixs46cv10","Malakoff (rue)","Actuellement rue de Lasteyrie."
"place/FRAN_RI_025-d3nzbvm4cn--kmcmzhqgafny","d3nzbvm4cn--kmcmzhqgafny","Malakoff (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvmfzp-crxkevr5kmky","d3nzbvmfzp-crxkevr5kmky","Malaquais (port)","Actuellement port des Saints-Pères."
"place/FRAN_RI_025-d3nzbvmsa1-1e8w2rpmez3mv","d3nzbvmsa1-1e8w2rpmez3mv","Malaquais (quai)","Voie actuelle. Autre(s) nom(s) : quai Malaquest, quai de la Reine-Marguerite."
"place/FRAN_RI_025-d3nzbvn44u-6yyiuzpbvmdx","d3nzbvn44u-6yyiuzpbvmdx","Malaquest (quai)","Actuellement quai Malaquais."
"place/FRAN_RI_025-d3nzbvnfk4-17dprv0ey3qdb","d3nzbvnfk4-17dprv0ey3qdb","Malar (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvnrug--jdoeeb3dg7wy","d3nzbvnrug--jdoeeb3dg7wy","Malassis (impasse)","Actuellement villa des Tulipes."
"place/FRAN_RI_025-d3nzbvo3p9-1oll1ponuffuj","d3nzbvo3p9-1oll1ponuffuj","Malassis (rue)","Voie actuelle. Autre(s) nom(s) : ruelle Malassis, rue du Poil-de-l'Ane, rue des Paillasses."
"place/FRAN_RI_025-d3nzbvofcb-4gtyz49wqj0f","d3nzbvofcb-4gtyz49wqj0f","Malassis (ruelle)","Actuellement rue Malassis."
"place/FRAN_RI_025-d3nzbvoqzc-14vl7z4ziymzt","d3nzbvoqzc-14vl7z4ziymzt","Maldestor (rue)","Actuellement rue Mondétour."
"place/FRAN_RI_025-d3nzbvqtkd--pyzehc2i4c1i","d3nzbvqtkd--pyzehc2i4c1i","Malebranche (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvr5mx-1fh9t2k51x8k9","d3nzbvr5mx-1fh9t2k51x8k9","Maleparole (rue)","Actuellement rue des Deux-Boules."
"place/FRAN_RI_025-d3nzbvqgui-1v5y54ec71pue","d3nzbvqgui-1v5y54ec71pue","Male-Parole (rue)","Voir rue des Mauvaises-Paroles."
"place/FRAN_RI_025-d3nzbvrhhq--16dnogj657n5p","d3nzbvrhhq--16dnogj657n5p","Malesherbes (boulevard)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvrsx1-15mj02qawiwdj","d3nzbvrsx1-15mj02qawiwdj","Malesherbes (cité)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvs4zl-315w2ob0wisq","d3nzbvs4zl-315w2ob0wisq","Malesherbes (passage)","Cette dénomination correspond à 2 voies : actuel passage Cardinet. Voie supprimée."
"place/FRAN_RI_025-d3nzbvsgmn-1ijvo55ms1ex8","d3nzbvsgmn-1ijvo55ms1ex8","Malesherbes (place)","Actuellement place du Général-Catroux."
"place/FRAN_RI_025-d3nzbvsswy--1b2db08an2boj","d3nzbvsswy--1b2db08an2boj","Malesherbes (rue)","Actuellement rue du Général-Foy."
"place/FRAN_RI_025-d3nzbvt4c9--70jgkn2cm759","d3nzbvt4c9--70jgkn2cm759","Malesherbes (villa)","Voie supprimée."
"place/FRAN_RI_025-d3nzbvtfrj--1kx44024sgnv8","d3nzbvtfrj--1kx44024sgnv8","Maleville (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvts9m--81tll4m9z6mq","d3nzbvts9m--81tll4m9z6mq","Malher (rue)","Voie actuelle. Autre(s) nom(s) : rue du Sous-Lieutenant-Malher."
"place/FRAN_RI_025-d3nzbvu44f-p15tw98hed7x","d3nzbvu44f-p15tw98hed7x","Malherbe (square)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvufrh--rdt0v8ttocle","d3nzbvufrh--rdt0v8ttocle","Malivaux (rue)","Actuellement partie de la rue des Barres."
"place/FRAN_RI_025-d3nzbvus1t-1xyt3ob4rzpeb","d3nzbvus1t-1xyt3ob4rzpeb","Malladerye (petite rue de la)","Voir petite rue de la Maladrerie."
"place/FRAN_RI_025-d3nzbvzb0h--1e9n3zsp9r996","d3nzbvzb0h--1e9n3zsp9r996","Mallebay (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nzbvzp0w--bg36driqze4u","d3nzbvzp0w--bg36driqze4u","Mallet-Stevens (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw02ls-1lnlszfs9z83p","d3nzbw02ls-1lnlszfs9z83p","Malmaisons (rue des)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw0eoc--1q7gqbmla4dd","d3nzbw0eoc--1q7gqbmla4dd","Malmaisons (sentier des)","Actuellement partie de la rue Gandon."
"place/FRAN_RI_025-d3nzbw0qqx-1uiyxncjdo0e6","d3nzbw0qqx-1uiyxncjdo0e6","Malte (rue de)","Cette dénomination correspond à 2 voies : voie actuelle. Voie ancienne : voir rue de Chartres-Saint-Honoré."
"place/FRAN_RI_025-d3nzbw12lq-dpjeo4q4clal","d3nzbw12lq-dpjeo4q4clal","Malte-Brun (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw1eoa-1700zn4de1xkw","d3nzbw1eoa-1700zn4de1xkw","Maltois (rue)","Voir rue du Martroi-Saint-Jean."
"place/FRAN_RI_025-d3nzbw1qym--h6pmi0kckrhl","d3nzbw1qym--h6pmi0kckrhl","Malus (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw2316-u4ld32is65e3","d3nzbw2316-u4ld32is65e3","Mancherie (rue de la)","Voir rue de la Limace."
"place/FRAN_RI_025-d3nzbw2fja--wkjge3fskqsm","d3nzbw2fja--wkjge3fskqsm","Mandar (cour)","Actuellement rue Mandar."
"place/FRAN_RI_025-d3nzbw2re3-3fr4e7ivenwj","d3nzbw2re3-3fr4e7ivenwj","Mandar (galerie)","Cette dénomination correspond à 2 voies : voie ancienne : voir passage du Saumon. Actuel passage Ben-Aïad."
"place/FRAN_RI_025-d3nzbw338w--1agtj17jkfstg","d3nzbw338w--1agtj17jkfstg","Mandar (rue)","Voie actuelle. Autre(s) nom(s) : cour Mandar."
"place/FRAN_RI_025-d3nzbw3fbg--1klqpysruspre","d3nzbw3fbg--1klqpysruspre","Manège (cour du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbw3s92-jyf8v1rr8dc2","d3nzbw3s92-jyf8v1rr8dc2","Manège (passage du)","Actuellement partie de la rue de l'Abbé-Grégoire."
"place/FRAN_RI_025-d3nzbw4vwx--dx789s28btyr","d3nzbw4vwx--dx789s28btyr","Manet (rue)","Actuellement rue Edouard-Manet."
"place/FRAN_RI_025-d3nzbw58ms--1v89br9tgazba","d3nzbw58ms--1v89br9tgazba","Mangallée (rue)","Actuellement rue Montgallet."
"place/FRAN_RI_025-d3nzbw5lke-d5b13ji0cg4z","d3nzbw5lke-d5b13ji0cg4z","Mangini (rue)","Voie supprimée."
"place/FRAN_RI_025-d3nzbw5x7f-1d5llvwfpfwt7","d3nzbw5x7f-1d5llvwfpfwt7","Manin (rue)","Voie actuelle. Autre(s) nom(s) : rue de Mexico."
"place/FRAN_RI_025-d3nzbw69a0--1alskv1q8bjx5","d3nzbw69a0--1alskv1q8bjx5","Manin (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw6lkc-uugmouhbq0om","d3nzbw6lkc-uugmouhbq0om","Manoir (rue du)","Actuellement partie de la rue Hermel."
"place/FRAN_RI_025-d3nzbw6x7d-1uur7h9e1xjby","d3nzbw6x7d-1uur7h9e1xjby","Mansart (rue)","Voie actuelle. Autre(s) nom(s) : rue Percier."
"place/FRAN_RI_025-d3nzbw79hp-6m7ib77pusl1","d3nzbw79hp-6m7ib77pusl1","Mantoue (rue de)","Actuellement rue de Courcelles."
"place/FRAN_RI_025-d3nzbw7lka--vkoxh708mxom","d3nzbw7lka--vkoxh708mxom","Manuel (rue)","Voie actuelle. Autre(s) nom(s) : rue Morée, rue Neuve-des-Martyrs."
"place/FRAN_RI_025-d3nzbw7xf3-po4fmrgszhym","d3nzbw7xf3-po4fmrgszhym","Manutention (rue de la)","Voie actuelle. Autre(s) nom(s) : rue Basse-Saint-Pierre."
"place/FRAN_RI_025-d3nzbw8924-1jjur5zhagrsz","d3nzbw8924-1jjur5zhagrsz","Maqueron (rue)","Actuellement rue Coq-Héron."
"place/FRAN_RI_025-d3nzbw8lcg--10pt21k2nxju","d3nzbw8lcg--10pt21k2nxju","Maquignonne (rue)","Cette dénomination correspond à 2 voies : actuelles rue Duméril et partie de la rue Geoffroy-Saint-Hilaire. Actuelle rue de l'Essai."
"place/FRAN_RI_025-d3nzbw8xms--1exaghgmiie9u","d3nzbw8xms--1exaghgmiie9u","Maquis-du-Vercors (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nzbw99pd--grnhw1aylgxj","d3nzbw99pd--grnhw1aylgxj","Maraîchers (rue des)","Voie actuelle. Autre(s) nom(s) : rue des Quatre-Jardiniers et rue du Chemin-de-Fer."
"place/FRAN_RI_025-d3nzbwafb2-9fwf230gw1je","d3nzbwafb2-9fwf230gw1je","Marais (chemin des)","Cette dénomination correspond à 3 voies : actuelle partie de la rue de Lourmel. Actuelle rue de Penthièvre. Voie supprimée."
"place/FRAN_RI_025-d3nzbwb4j0-n94hdsdvm4sl","d3nzbwb4j0-n94hdsdvm4sl","Marais (impasse)","Actuellement rue de Châtillon."
"place/FRAN_RI_025-d3nzbwasgf--1i4vddwawibqi","d3nzbwasgf--1i4vddwawibqi","Marais (impasse des)","Cette dénomination correspond à 2 voies : actuelle impasse Dupuy. Actuel passage des Marais."
"place/FRAN_RI_025-d3nzbwbhod--1boye841z3ig7","d3nzbwbhod--1boye841z3ig7","Marais (passage des)","Voie actuelle. Autre(s) nom(s) : impasse des Marais."
"place/FRAN_RI_025-d3nzbwbue8--7chtlabej889","d3nzbwbue8--7chtlabej889","Marais (poterne du)","Voir poterne du Pont-aux-Choux."
"place/FRAN_RI_025-d3nzbwexmg--1ny0w8lclgbho","d3nzbwexmg--1ny0w8lclgbho","Marais (rue des)","Cette dénomination correspond à 4 voies : actuelle rue Notre-Dame-des-Victoires. Partie de l'actuelle rue de Malte. Actuelles rue Albert-Thomas, place Jacques-Bonsergent et rue de Nancy. Voie supprimée."
"place/FRAN_RI_025-d3nzbwfa4j--ov6dg0zbkfk6","d3nzbwfa4j--ov6dg0zbkfk6","Marais (ruelle des)","Actuellement rue Marbeuf."
"place/FRAN_RI_025-d3nzbwfmmm-19yw0ccezz40j","d3nzbwfmmm-19yw0ccezz40j","Marais-des-Gourdes (passage des)","Voir impasse des Douze-Maisons."
"place/FRAN_RI_025-d3nzbwfzch--hmc1ut8ho7pd","d3nzbwfzch--hmc1ut8ho7pd","Marais-des-Gourdes (ruelle du)","Actuellement rue du Colisée."
"place/FRAN_RI_025-d3nzbwgb7a-yxdv9fp68dbi","d3nzbwgb7a-yxdv9fp68dbi","Marais-des-Porcherons (ruelle au)","Actuellement partie de la rue de la Victoire."
"place/FRAN_RI_025-d3nzbwgmet--1qao91zebu3sj","d3nzbwgmet--1qao91zebu3sj","Marais-du-Temple (rue des)","Cette dénomination correspond à 2 voies : actuelle partie de la rue de Malte. Actuelles rue Albert-Thomas, place Jacques-Bonsergent et rue de Nancy."
"place/FRAN_RI_025-d3nzbwgyp5-s27kcqhpd01y","d3nzbwgyp5-s27kcqhpd01y","Marais-Rouges (cul-de-sac des)","Voie supprimée."
"place/FRAN_RI_025-d3nzbwha4f-1pg1hzxn6z3uu","d3nzbwha4f-1pg1hzxn6z3uu","Marais-Saint-Germain (rue des)","Actuellement rue Visconti."
"place/FRAN_RI_025-d3m0cihkkpy--1p95v080hyze4","d3m0cihkkpy--1p95v080hyze4","Marais-Saint-Martin (rue des)",
"place/FRAN_RI_025-d3nzbwhlz8--rhh94eivsys9","d3nzbwhlz8--rhh94eivsys9","Marat (rue)","Actuellement rue de l'Ecole-de-Médecine."
"place/FRAN_RI_025-d3nzbwisnq--ez8q5p1619fs","d3nzbwisnq--ez8q5p1619fs","Marbeau (boulevard)","Voie actuelle. Autre(s) nom(s) : boulevard Lannes-Sud."
"place/FRAN_RI_025-d3nzbwj5t4-q71qeyukme7t","d3nzbwj5t4-q71qeyukme7t","Marbeau (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwjh8e--1p1oxclne0gh4","d3nzbwjh8e--1p1oxclne0gh4","Marbeuf (allée)","Voie supprimée."
"place/FRAN_RI_025-d3nzbwjsvg--scpwbladahje","d3nzbwjsvg--scpwbladahje","Marbeuf (passage)","Voie supprimée également dénommée passage Gaillard."
"place/FRAN_RI_025-d3nzbwk4ih-1pw3h9xv9fekv","d3nzbwk4ih-1pw3h9xv9fekv","Marbeuf (rue)","Voie actuelle. Autre(s) nom(s) : rue des Gourdes, ruelle des Marais."
"place/FRAN_RI_025-d3nzbwkgst-1poonv9zx22dl","d3nzbwkgst-1poonv9zx22dl","Marbres (port aux)","Voie supprimée."
"place/FRAN_RI_025-d3nzbwmbmg-1dmf81viiihra","d3nzbwmbmg-1dmf81viiihra","Marcadet (cité)","Voie supprimée également dénommée cité Sainte-Anne."
"place/FRAN_RI_025-d3nzbwmmm8--uwifw7qyi4lh","d3nzbwmmm8--uwifw7qyi4lh","Marcadet (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwks84-6e7qts2atje8","d3nzbwks84-6e7qts2atje8","Marc-Antoine-Charpentier (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwl3ne--iihyejcizz6o","d3nzbwl3ne--iihyejcizz6o","Marc-Bloch (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwlen6-v2tv3jrxo378","d3nzbwlen6-v2tv3jrxo378","Marc-Chagall (allée)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwmxm0-ga1cbuqy9zyg","d3nzbwmxm0-ga1cbuqy9zyg","Marceau (avenue)","Voie actuelle. Autre(s) nom(s) : avenue Joséphine."
"place/FRAN_RI_025-d3nzbwnv8l-v6u4m02rt8vc","d3nzbwnv8l-v6u4m02rt8vc","Marceau (rue)","Cette dénomination correspond à 2 voies : voie supprimée. Actuelle rue de Montpensier. Actuelle rue de Rohan. Actuelle rue de Wattignies. Voie ancienne : voir rue Brisard."
"place/FRAN_RI_025-d3nzbwo73e--1k1wj5kf6tltl","d3nzbwo73e--1k1wj5kf6tltl","Marceau (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwohve--19g602hksjw6z","d3nzbwohve--19g602hksjw6z","Marceau-Prolongée (rue)","Voir rue Brisard."
"place/FRAN_RI_025-d3nzbwot2x-1ugqi7mbnkhvu","d3nzbwot2x-1ugqi7mbnkhvu","Marcel-Achard (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwp42p--nov13mz2b78g","d3nzbwp42p--nov13mz2b78g","Marcel-Aymé (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwpf2g-nffec802jt8s","d3nzbwpf2g-nffec802jt8s","Marcel-Cerdan (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwpq28--1lhyxtl0cpie8","d3nzbwpq28--1lhyxtl0cpie8","Marcel-Doret (avenue)","Voie actuelle. Autre(s) nom(s) : avenue de la Porte-du-Point-du-Jour."
"place/FRAN_RI_025-d3nzbwq19r-bvvunqlikjr6","d3nzbwq19r-bvvunqlikjr6","Marcel-Dubois (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwqc1r-1x1r3flpxo8r4","d3nzbwqc1r-1x1r3flpxo8r4","Marcel-Duchamp (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwqn9a--leoy1cxg7wd7","d3nzbwqn9a--leoy1cxg7wd7","Marcel-Gromaire (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwume1-agxoymk5ylq8","d3nzbwume1-agxoymk5ylq8","Marcelin-Berthelot (place)","Voie actuelle. Autre(s) nom(s) : place du Collège-de-France, place de Cambrai."
"place/FRAN_RI_025-d3nzbwqy92-sl3jofxyovaz","d3nzbwqy92-sl3jofxyovaz","Marcel-Jambenoire (allée)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwr98t-cm0xfp8wqm7","d3nzbwr98t-cm0xfp8wqm7","Marcel-Landowski (passage)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwrk0u-pwl97kjiye1i","d3nzbwrk0u-pwl97kjiye1i","Marcel-Lods (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwrv0l--1vh5xkd6snnwe","d3nzbwrv0l--1vh5xkd6snnwe","Marcel-Paul (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwsrkd--t00g0l3n04vm","d3nzbwsrkd--t00g0l3n04vm","Marcel-Proust (allée)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwt3f6-7u40pny9ar7d","d3nzbwt3f6-7u40pny9ar7d","Marcel-Proust (avenue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwteey-1vv120amu78y8","d3nzbwteey-1vv120amu78y8","Marcel-Rajman (square)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwtpeq-1795uxokoe6dc","d3nzbwtpeq-1795uxokoe6dc","Marcel-Renault (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwu0eh--1eh8x0xpxsf85","d3nzbwu0eh--1eh8x0xpxsf85","Marcel-Sembat (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwube9--13xbgyw276v88","d3nzbwube9--13xbgyw276v88","Marcel-Toussaint (square)","Voie actuelle. Autre(s) nom(s) : square Léon-Robelin."
"place/FRAN_RI_025-d3nzbwux61--7ve9j591wzh8","d3nzbwux61--7ve9j591wzh8","Marcès (impasse)","Actuellement villa Marcès."
"place/FRAN_RI_025-d3nzbwv85s-13ap8xoxpi4nl","d3nzbwv85s-13ap8xoxpi4nl","Marcès (villa)","Voie actuelle. Autre(s) nom(s) : impasse Marcès."
"place/FRAN_RI_025-d3nzbwvj5k-1dwfs0pt2nsb3","d3nzbwvj5k-1dwfs0pt2nsb3","Marchais (rue des)","Voie actuelle."
"place/FRAN_RI_025-d3nzbwvtxk--glnt22ihs560","d3nzbwvtxk--glnt22ihs560","Marchand (impasse)","Voie supprimée."
"place/FRAN_RI_025-d3nzbww4xc-uimmdqhlytc4","d3nzbww4xc-uimmdqhlytc4","Marchand (passage)","Voie supprimée."
"place/FRAN_RI_025-d3nzbwwfx4--1quoamyxka86o","d3nzbwwfx4--1quoamyxka86o","Marchandise (pont de la)","Remplacé par le pont au Change."
"place/FRAN_RI_025-d3nzbwwqwv--d9sqw257v48r","d3nzbwwqwv--d9sqw257v48r","Marchands (place aux)","Actuellement place de l'Ecole."
"place/FRAN_RI_025-d3nzbwy8l5--1v5eb2e7fxwag","d3nzbwy8l5--1v5eb2e7fxwag","Marchands (pont aux)","Remplacé par le pont au Change."
"place/FRAN_RI_025-d3nzbwykfy--1ho5ppdgrmfgw","d3nzbwykfy--1ho5ppdgrmfgw","Marché (cité du)","Voir cité d'Orsel."
"place/FRAN_RI_025-d3nzbwyvfq--6w2lp0pt3079","d3nzbwyvfq--6w2lp0pt3079","Marché (passage du)","Cette dénomination correspond à 2 voies : voie actuelle. Voie ancienne : voir passage Gasparin."
"place/FRAN_RI_025-d3nzbwz6fh-17hqah9lepgc2","d3nzbwz6fh-17hqah9lepgc2","Marché (place du)","Actuellement place de Torcy."
"place/FRAN_RI_025-d3nzbwzhf9-f7fopc43h9yv","d3nzbwzhf9-f7fopc43h9yv","Marche (rue de la)","Actuellement partie de la rue de Saintonge."
"place/FRAN_RI_025-d3nzbwzsf1-prteio20jwd1","d3nzbwzsf1-prteio20jwd1","Marché (rue du)","Cette dénomination correspond à 3 voies : actuelle rue Lakanal, actuelle rue L'Olive, actuelle rue Duban."
"place/FRAN_RI_025-d3nzbx0371-vhya7wzvwul7","d3nzbx0371-vhya7wzvwul7","Marché (ruelle du)","Actuellement rue des Oiseaux."
"place/FRAN_RI_025-d3nzbx0dz1-gf4sgkiqypfu","d3nzbx0dz1-gf4sgkiqypfu","Marché-aux-Chevaux (avenue du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx0p6k-1h9996rlm5jjq","d3nzbx0p6k-1h9996rlm5jjq","Marché-aux-Chevaux (impasse du)","Voie actuelle."
"place/FRAN_RI_025-d3nzbx106c--qurgsfksdf2s","d3nzbx106c--qurgsfksdf2s","Marché-aux-Chevaux (rue du)","Cette dénomination correspond à 2 voies : actuelle rue de Tournon. Actuelles rue Duméril et partie de la rue Geoffroy-Saint-Hilaire."
"place/FRAN_RI_025-d3nzbx1ayc--d4xq1v16ukcs","d3nzbx1ayc--d4xq1v16ukcs","Marché-aux-Fleurs (rue du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx1m5v--15df8stavin2f","d3nzbx1m5v--15df8stavin2f","Marché-aux-Poirées (rue du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx1x5n-5env7jg30s78","d3nzbx1x5n-5env7jg30s78","Marché-aux-Porcs (rue du)","Actuellement rue de la Vistule."
"place/FRAN_RI_025-d3nzbx27xn-1qk2u888dvir6","d3nzbx27xn-1qk2u888dvir6","Marché-aux-Pourceaux (place du)","Actuellement impasse des Bourdonnais."
"place/FRAN_RI_025-d3nzbx33u5--xkw9k0qar4y0","d3nzbx33u5--xkw9k0qar4y0","Marché-aux-Veaux (place du)","Voir place de la Halle-aux-Veaux."
"place/FRAN_RI_025-d3nzbx3foy-jbr3pgxveh5k","d3nzbx3foy-jbr3pgxveh5k","Marché-Beauveau (place du)","Actuellement place d'Aligre."
"place/FRAN_RI_025-d3nzbx3qgy--1dl4infyb5i3r","d3nzbx3qgy--1dl4infyb5i3r","Marché-d'Aguesseau (passage du)","Actuellement cité Berryer."
"place/FRAN_RI_025-d3nzbx41gq--13duns2uv4hrf","d3nzbx41gq--13duns2uv4hrf","Marché-d'Aguesseau (rue du)","Actuellement rue Montalivet."
"place/FRAN_RI_025-d3nzbx4cgh-7e8g8bv4izhd","d3nzbx4cgh-7e8g8bv4izhd","Marché-de-Boulainvilliers (passage du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx4ng9-1ls1cek7b7e1k","d3nzbx4ng9-1ls1cek7b7e1k","Marché-de-l'Abbaye (carrefour du)","Voir place Gozlin."
"place/FRAN_RI_025-d3nzbx4yg1-tygrmi0p0z26","d3nzbx4yg1-tygrmi0p0z26","Marché-des-Blancs-Manteaux (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzbx59fs--1f0qnk69akca6","d3nzbx59fs--1f0qnk69akca6","Marché-des-Innocents (place du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx5knb--1b6m7bjv0gyna","d3nzbx5knb--1b6m7bjv0gyna","Marché-des-Jacobins (place du)","Actuellement place du Marché-Saint-Honoré."
"place/FRAN_RI_025-d3nzbx5vn3--ezd2ff7ajsr","d3nzbx5vn3--ezd2ff7ajsr","Marché-des-Jacobins (rue du)","Actuellement rue du Marché-Saint-Honoré."
"place/FRAN_RI_025-d3nzbx66mv--ez9qsxe0mtwq","d3nzbx66mv--ez9qsxe0mtwq","Marché-des-Patriarches (passage du)","Voie supprimée."
"place/FRAN_RI_025-d3nzbx6hmm-z1vk6keucz0s","d3nzbx6hmm-z1vk6keucz0s","Marché-des-Patriarches (rue du)","Voie actuelle."
