"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d5bi93acgi-13bo3jn5ojefn","d5bi93acgi-13bo3jn5ojefn","Cité (Paris ; quartier)","Cité (île de la)",,,
"place/FRAN_RI_023-d3nyvfvigs--1prphc6bemlqa","d3nyvfvigs--1prphc6bemlqa","Cité (Paris ; quartier)","Cité (quartier) | Notre-Dame (section révolutionnaire)",,,"Quartier ayant existé de 1701 à 1790 et de 1811 à 1860. Il correspond à la section révolutionnaire Notre-Dame."
"place/FRAN_RI_023-d3nyvfvtob--1ccq8rb4h470c","d3nyvfvtob--1ccq8rb4h470c","Clignancourt (Paris ; quartier)","Clignancourt (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfw4o2-1c7qsqf8o2oq","d3nyvfw4o2-1c7qsqf8o2oq","Combat (Paris ; quartier)","Combat (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d5bi939uke--12wmk91uql7a1","d5bi939uke--12wmk91uql7a1","Courtille (Paris ; quartier)","Courtille (quartier) | Haute Courtille | Basse Courtille",,,
"place/FRAN_RI_023-d3nyvfwg3d--txnd2dns74ks","d3nyvfwg3d--txnd2dns74ks","Croulebarbe (Paris ; quartier)","Croulebarbe (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d5bi93a7ps-v3lxljdfz0u6","d5bi93a7ps-v3lxljdfz0u6","Cygnes (Paris ; quartier)","Cygnes (île des)",,,"Cette dénomination correspond à deux localisations : actuelle île des cygnes et actuel quay Branly."
"place/FRAN_RI_023-d3nyvfx2xx-1vlkzuvrkezfk","d3nyvfx2xx-1vlkzuvrkezfk","Ecole-de-Médecine (Paris ; quartier)","Ecole-de-Médecine (quartier) | Marat (section révolutionnaire) | Marseille-et-Marat (section révolutionnaire) | Marseille (section révolutionnaire) | Théâtre-français (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Théâtre-français, Marseille, Marseille-et-Marat, Marat."
"place/FRAN_RI_023-d3nyvfwraw-jramhpuyp73d","d3nyvfwraw-jramhpuyp73d","Ecole Militaire (Paris ; quartier)","Ecole Militaire (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfxe5g--jn5nwoqe7v9d","d3nyvfxe5g--jn5nwoqe7v9d","Enfants-Rouges (Paris ; quartier)","Enfants-Rouges (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfxpkr-duafsevbedvk","d3nyvfxpkr-duafsevbedvk","Epinettes (Paris ; quartier)","Epinettes (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfy1fk--tfn4492ql1ea","d3nyvfy1fk--tfn4492ql1ea","Europe (Paris ; quartier)","Europe (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfyymm--3q593nbcvt1s","d3nyvfyymm--3q593nbcvt1s","Faubourg-Montmartre (Paris ; quartier)","Faubourg-Montmartre (quartier) | Faubourg-Mont-Marat (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire Faubourg-Mont-Marat."
"place/FRAN_RI_023-d3nyvfyi13--1q099jtgte4d7","d3nyvfyi13--1q099jtgte4d7","Faubourg-Poissonnière (Paris ; quartier)","Faubourg-Poissonnière (quartier) | Rue Poissonnière (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire Rue Poissonnière."
"place/FRAN_RI_023-d3nyvfzawy--1rgm4059jtr5j","d3nyvfzawy--1rgm4059jtr5j","Faubourg-Saint-Antoine (Paris ; quartier)","Faubourg-Saint-Antoine (quartier) | Montreuil (section révolutionnaire) | Rue de Montreuil (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Rue de Montreuil, Montreuil."
"place/FRAN_RI_023-d3nyvfznms-d271k0cm4aol","d3nyvfznms-d271k0cm4aol","Faubourg-Saint-Denis (Paris ; quartier)","Faubourg-Saint-Denis (quartier) | Faubourg-du-Nord (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire Faubourg du Nord."
